usage_id,subscription_id,usage_date,feature_name,usage_count,usage_duration_secs,error_count,is_beta_feature
U-c3689ab0,S-09e22fe2,2022-11-25,feature_30,9,57,0,False
U-152e5f3c,S-df31cd21,2021-10-06,feature_13,12,2133,0,False
U-d0b763b2,S-b8799606,2022-06-09,feature_25,9,3283,0,False
U-d315968b,S-4d7ba631,2022-05-16,feature_33,9,3304,0,False
U-9df78e03,S-01b660ed,2024-01-30,feature_20,9,12696,0,False
U-b91e8bc7,S-a0cf01ec,2021-04-05,feature_5,11,4039,2,False
U-6f774c08,S-24b33137,2022-05-27,feature_15,17,4980,1,False
U-d208f68c,S-3b142535,2021-04-01,feature_23,9,145,0,False
U-8a04b2c8,S-90f91f63,2022-01-12,feature_31,10,3865,0,False
U-bee52eb6,S-19e927a4,2023-08-17,feature_21,10,508,0,False
U-6490b776,S-db18130c,2024-12-12,feature_40,10,4469,0,False
U-c1c6c399,S-22fd0ed2,2021-01-22,feature_40,9,369,0,False
U-6c67b760,S-971896bf,2021-06-23,feature_36,10,1454,1,False
U-23945474,S-d174efe6,2023-10-27,feature_28,4,3673,2,False
U-40448465,S-1cebee2a,2024-04-13,feature_32,7,1343,0,False
U-484975a5,S-55b170fe,2021-10-03,feature_33,14,662,1,False
U-1a540db5,S-078b8ff5,2024-11-06,feature_26,9,1573,0,False
U-61f43a44,S-efd6c401,2024-09-12,feature_18,5,2365,0,False
U-bbc08475,S-acadcffc,2021-12-20,feature_2,10,9611,1,False
U-e31adeff,S-73aad541,2022-12-04,feature_34,11,4281,0,False
U-4d776682,S-0d7a3e87,2024-01-01,feature_4,6,168,0,False
U-f2c447c1,S-58cb9db0,2022-06-05,feature_19,8,1377,0,False
U-02370e5f,S-92336e24,2023-11-27,feature_23,4,3808,1,False
U-4a780325,S-576848da,2022-01-17,feature_29,8,2371,1,False
U-0c166dde,S-d88f052a,2023-11-03,feature_14,13,535,0,False
U-0efc1c6e,S-c971a07c,2021-06-11,feature_36,4,2952,0,True
U-0ab5b0aa,S-e2de138f,2023-07-15,feature_7,10,3255,0,False
U-e335c1a0,S-0973a407,2023-06-14,feature_5,10,164,1,False
U-38e08097,S-c38a515b,2021-08-05,feature_31,10,1154,0,False
U-70a36046,S-7b47474d,2021-02-27,feature_1,12,2255,0,False
U-1da8d483,S-c2e15b01,2021-08-29,feature_18,11,283,0,False
U-9c07852a,S-6377d389,2024-08-08,feature_37,7,24,0,False
U-d1a3d3ba,S-5375b2a7,2024-04-03,feature_10,8,1316,0,False
U-97ac56fc,S-1d74c38d,2022-08-15,feature_21,8,1021,0,False
U-160b05f7,S-33ae6ad8,2023-05-24,feature_36,10,2187,1,False
U-da76897f,S-ad004076,2022-02-27,feature_26,15,3025,0,False
U-522be333,S-9c413043,2021-04-02,feature_38,13,2910,0,False
U-0e4786dc,S-b01ce9cc,2021-01-31,feature_33,4,3490,0,False
U-7ce13bcc,S-4579b46a,2023-02-09,feature_23,9,756,0,False
U-063cdbf5,S-476a871e,2021-05-25,feature_9,6,4877,0,False
U-37f76768,S-ef10fa5a,2023-02-28,feature_37,8,1590,0,False
U-cd9a8173,S-1d6d7763,2024-10-14,feature_33,13,11461,1,False
U-b9254c68,S-7961f01f,2023-07-23,feature_19,6,1656,0,False
U-9ca67b6b,S-a4e86b82,2024-05-14,feature_30,9,2727,0,False
U-9a99af09,S-39e97436,2021-02-02,feature_3,6,1975,0,False
U-7a514d8f,S-75bdbeec,2023-08-31,feature_16,7,1590,0,False
U-15907d78,S-134040c6,2022-08-02,feature_6,14,760,0,False
U-4e229bf3,S-263bf09b,2023-07-09,feature_4,9,2479,0,False
U-661eef30,S-58620342,2022-06-20,feature_26,6,3105,0,True
U-a75683e2,S-add27556,2021-10-05,feature_5,9,254,0,False
U-8f0eede9,S-3dcb3445,2024-10-25,feature_36,7,9,0,False
U-db88f6e4,S-52654ae1,2024-04-20,feature_23,11,6548,2,False
U-c15dc631,S-7e8bc4aa,2024-06-20,feature_14,6,4181,0,True
U-6aa03326,S-00999e2f,2024-04-07,feature_5,7,5049,0,False
U-f41a33d3,S-19e4748d,2023-05-05,feature_9,9,3347,0,False
U-6d5b0d84,S-e6117a3b,2022-08-25,feature_40,9,4051,0,True
U-05d88cf9,S-bf4d4d63,2021-01-07,feature_35,8,5257,0,False
U-4a195405,S-285212de,2021-11-21,feature_19,8,2008,0,False
U-eb73be54,S-9b114401,2022-05-06,feature_17,15,2992,0,False
U-d7f6cf11,S-f59b9ccd,2021-08-02,feature_27,6,3864,0,False
U-343e014f,S-594d7307,2023-07-22,feature_12,13,2992,0,False
U-5225f245,S-a39b846f,2024-12-31,feature_16,6,2460,0,False
U-1997c166,S-5327ea82,2023-05-19,feature_29,9,319,1,True
U-23432e25,S-81d5f684,2021-01-15,feature_18,8,2145,0,False
U-89ef2f20,S-c9e2173f,2021-11-22,feature_3,6,3774,0,False
U-a5f095b8,S-1cebee2a,2021-11-03,feature_12,13,2811,1,True
U-86370e24,S-cb70c510,2021-03-08,feature_21,11,331,0,True
U-9f42ad29,S-899cc6ba,2022-05-03,feature_19,12,6075,0,True
U-72791b71,S-6efaa3fe,2021-06-30,feature_18,8,11256,1,False
U-6906381b,S-5d913140,2022-05-22,feature_14,12,1190,0,False
U-80de5e12,S-3f9dc5b5,2022-09-10,feature_40,8,1247,0,True
U-17313fa0,S-d184aaa8,2022-04-22,feature_33,8,71,0,False
U-3e720016,S-e3a548e6,2021-04-22,feature_29,7,1103,0,False
U-622b877e,S-957949fa,2021-05-12,feature_37,9,6886,0,True
U-4307859a,S-3eb6376c,2021-02-10,feature_26,12,1366,0,False
U-924326c4,S-c4a65e51,2023-11-05,feature_7,5,2945,0,False
U-57eaa9f9,S-a40d3111,2021-11-03,feature_18,6,699,0,False
U-fe42a876,S-d9290434,2022-03-19,feature_23,8,963,0,False
U-c1805f53,S-4b8fb40f,2022-12-21,feature_5,17,2537,0,False
U-c90a0a9b,S-244437e1,2024-05-15,feature_17,8,1427,0,False
U-35e78bf5,S-242232af,2021-10-24,feature_30,17,1552,0,True
U-d3b28540,S-2bab405a,2022-07-28,feature_16,14,2622,1,False
U-0c3d52b3,S-69cd9b51,2024-06-03,feature_36,10,924,0,True
U-88bc7589,S-e99026c5,2023-02-24,feature_14,11,1350,1,False
U-96f9ca4f,S-37b65966,2023-03-12,feature_9,5,3382,1,False
U-b61f000d,S-f997d251,2021-08-16,feature_39,11,2411,0,False
U-11de2572,S-14530c88,2021-10-14,feature_33,9,1040,0,False
U-b8f78dfb,S-0148d138,2023-12-26,feature_8,11,6457,0,False
U-ae4e8f85,S-2c1855af,2022-07-04,feature_24,8,7271,2,False
U-e069a36b,S-629d1a94,2023-06-14,feature_1,8,1794,0,False
U-ce975758,S-208edd21,2024-06-09,feature_10,10,4978,0,False
U-ad46bd87,S-b73b1894,2023-01-11,feature_14,14,2497,0,True
U-9dbfba9d,S-fe827351,2024-12-28,feature_35,8,1402,0,False
U-b591f9fc,S-5a696972,2022-07-13,feature_2,9,11987,0,False
U-ae1fd685,S-a1fa9c1c,2021-07-04,feature_28,5,327,0,False
U-d61070e5,S-73170b40,2022-08-18,feature_19,5,570,0,False
U-4bb3e9ee,S-2e565255,2022-02-03,feature_25,9,526,1,False
U-eabcf804,S-ca7b52ea,2022-04-18,feature_10,7,1693,0,False
U-87f3d5e9,S-072941be,2022-06-01,feature_11,10,531,1,False
U-475dc8d0,S-d7126977,2021-06-10,feature_11,12,2437,0,False
U-2dc2d80c,S-90a62778,2023-12-04,feature_32,18,329,0,False
U-ac27bb5c,S-b07d6a5e,2022-08-03,feature_6,6,2832,0,False
U-16987ae0,S-b41ab022,2021-01-08,feature_23,9,1122,0,False
U-c9461975,S-cf9e205b,2022-03-21,feature_12,8,1466,0,False
U-8ce44d1f,S-80433ec5,2024-09-19,feature_35,14,2999,0,False
U-3eeefd27,S-743dea69,2021-01-11,feature_36,9,2579,0,False
U-d1204332,S-204f4d1f,2023-10-09,feature_9,12,2776,0,False
U-519cd019,S-8b955e02,2023-05-18,feature_12,11,3315,0,False
U-abbd0cbf,S-30a0da5e,2021-12-21,feature_12,4,3747,0,True
U-6e707ee2,S-2948accb,2024-01-28,feature_31,12,1758,0,False
U-736ab3fd,S-c443ae53,2023-05-30,feature_8,15,2189,0,False
U-61f0d98b,S-6971ff59,2022-10-23,feature_28,15,3464,0,False
U-d6edbd4f,S-719bb175,2021-04-07,feature_33,7,3907,1,False
U-119c2496,S-3bdd75be,2022-01-09,feature_11,9,5766,0,False
U-92a5603c,S-ad8385f3,2024-07-06,feature_8,5,2604,0,True
U-ed3211aa,S-7f87a8a0,2024-10-22,feature_17,8,4374,0,False
U-775fde14,S-da86e946,2023-10-01,feature_38,5,256,0,False
U-a377cea5,S-d22d9836,2024-10-09,feature_11,12,550,0,False
U-d07e29ae,S-dc0d39d7,2023-01-10,feature_30,6,2731,1,False
U-31750993,S-f59b9ccd,2022-03-10,feature_11,11,6915,0,False
U-8c48e666,S-3708de69,2022-09-06,feature_4,4,103,0,False
U-4a0184d6,S-3c7798fc,2023-12-30,feature_7,12,3080,0,False
U-88de47c9,S-33cdc910,2024-01-16,feature_21,7,4638,0,False
U-b2f68dbe,S-85bddb9a,2023-01-27,feature_37,7,6643,0,False
U-d8679e90,S-d4893574,2023-01-04,feature_6,12,3368,0,False
U-56f4811e,S-0ebdfaec,2021-02-14,feature_37,13,1616,0,False
U-2ddf90d3,S-c0e65d34,2024-03-29,feature_18,14,3804,1,False
U-cf2431c5,S-dfe279d3,2022-04-26,feature_26,12,1401,0,False
U-d6316526,S-4f38cc19,2023-08-24,feature_9,12,7617,0,False
U-880f9a2c,S-cfe54f0b,2022-10-10,feature_39,5,4504,0,False
U-24daeb2b,S-4e5fb11c,2022-07-06,feature_15,6,2116,0,False
U-bf19c1ad,S-5e2af624,2024-07-11,feature_32,17,3491,0,True
U-3340532e,S-877b1cf6,2024-03-07,feature_22,9,1122,1,False
U-bfb077c0,S-a15582ee,2024-04-05,feature_20,13,6829,0,False
U-94bde87e,S-6085b900,2023-08-16,feature_6,8,6110,0,False
U-13c72fad,S-bba309f5,2022-01-22,feature_15,13,4094,0,False
U-be67556f,S-3b2d5083,2021-08-23,feature_31,12,756,0,False
U-1ea3e2cc,S-75977f29,2023-12-28,feature_35,9,4198,0,False
U-3a5b4c6d,S-18fc42c9,2024-09-10,feature_18,17,1706,0,False
U-51ac0969,S-548f883c,2021-08-26,feature_8,8,349,0,False
U-59dc77c0,S-06acc033,2024-06-07,feature_17,9,3580,0,False
U-da50c1d5,S-7c347e2f,2022-11-19,feature_8,13,3875,0,False
U-bf7db49e,S-d64e41ac,2022-09-18,feature_36,7,794,0,False
U-ae3582fa,S-6506178a,2024-12-04,feature_6,10,1796,0,False
U-77403adc,S-946f390a,2021-01-10,feature_27,12,179,0,False
U-45e0bc06,S-13ed35ac,2022-06-28,feature_37,11,949,0,False
U-f49b3142,S-1a33e5e0,2024-07-04,feature_33,12,1131,0,False
U-b34340bc,S-b8861bd1,2023-07-11,feature_39,6,3271,1,False
U-fc05207f,S-4b098919,2024-02-17,feature_3,8,1006,0,False
U-6e2926d3,S-3729e028,2022-02-24,feature_2,11,2767,0,False
U-5d8ec837,S-ac8c9b37,2021-04-06,feature_39,8,1000,0,False
U-2be667d0,S-a44443c4,2021-07-11,feature_39,10,2649,0,False
U-0562a8c2,S-2c54dd3a,2021-06-25,feature_26,10,729,1,False
U-820bcd8d,S-6acbe650,2024-12-20,feature_4,11,4816,0,False
U-4e6e3ebc,S-61afd2cb,2024-03-06,feature_2,9,8,0,False
U-f47cd22b,S-b6396740,2021-04-28,feature_37,9,367,0,False
U-253524f9,S-0598b65f,2022-10-30,feature_39,10,2933,0,False
U-9be7d336,S-7b813cd6,2024-04-01,feature_18,12,1193,0,False
U-63257c8e,S-a68b3c8e,2022-01-21,feature_6,6,1326,0,False
U-56809830,S-5458d916,2024-03-02,feature_16,13,1459,0,False
U-b73a8505,S-77b96760,2023-04-21,feature_34,6,1860,0,False
U-52945545,S-526b2b2f,2023-02-09,feature_16,9,2964,0,False
U-ef35d206,S-ae47b44f,2021-02-16,feature_32,9,253,0,False
U-6aa39b24,S-63d94994,2022-11-01,feature_22,6,1654,0,False
U-34704ac7,S-7bc860d8,2021-12-05,feature_29,9,2357,0,False
U-454bdcd2,S-1515ecdf,2022-06-29,feature_20,12,300,0,False
U-45f18e71,S-f7004927,2021-05-06,feature_17,11,1478,0,False
U-9ce2adf3,S-dce95e65,2022-10-09,feature_32,15,1270,0,True
U-6b4425c1,S-17e996fb,2024-01-22,feature_20,8,1240,0,False
U-eda12bb0,S-8673b444,2021-05-11,feature_17,5,4810,0,False
U-0cc4d77a,S-a3946e2e,2024-09-12,feature_17,11,6967,0,True
U-8e05172f,S-d4051e2c,2022-09-30,feature_37,15,1222,1,False
U-a6b2f977,S-e9dde9ff,2021-08-13,feature_27,4,3142,1,False
U-51e233cd,S-88eed633,2024-04-07,feature_4,4,1830,0,False
U-a8a59475,S-d0c53787,2023-01-01,feature_10,8,1551,0,False
U-5d0ec497,S-d127d1e5,2023-09-12,feature_38,8,10266,0,False
U-993fae1a,S-1160b36c,2024-02-16,feature_5,8,27,1,False
U-1d76d554,S-e55c6fdf,2022-04-24,feature_28,12,180,0,False
U-121fedab,S-92f54a50,2023-11-14,feature_4,12,130,0,False
U-06949e3f,S-1ba88a1e,2023-05-01,feature_11,1,1845,0,False
U-21bbb863,S-a6ce2e9a,2022-01-05,feature_27,5,7151,0,True
U-6b326c3e,S-8c3c17f4,2022-11-19,feature_33,5,1779,1,True
U-d896e2b3,S-e5890a3a,2021-07-21,feature_13,11,6828,0,False
U-95728679,S-6a778639,2021-06-18,feature_36,12,5230,1,False
U-7700dab9,S-ec1adb34,2024-08-11,feature_4,2,677,0,True
U-6458f5a9,S-eeb109f3,2023-08-23,feature_20,6,756,0,True
U-63ee2299,S-1e2d9c92,2022-03-27,feature_15,16,1810,0,False
U-204f55c6,S-03e0675d,2021-12-30,feature_36,12,3582,0,False
U-bb5b1d2c,S-e0047262,2022-06-14,feature_35,11,1244,0,False
U-1d57cc94,S-7b6613bc,2021-11-04,feature_38,11,1017,0,False
U-1fa45751,S-d6437704,2023-02-14,feature_25,8,1356,0,False
U-1d688731,S-d8e4cc18,2023-06-08,feature_36,6,697,0,False
U-c66cdc58,S-67a164d7,2023-11-15,feature_10,6,2161,0,False
U-df8526dc,S-ad11d193,2023-09-30,feature_17,14,6845,0,False
U-f6fc745e,S-c03177f1,2023-01-24,feature_7,12,5201,0,False
U-0efe5575,S-9266ebe0,2024-08-27,feature_5,8,6555,0,False
U-03e65bc2,S-f410778e,2022-06-30,feature_22,9,3748,0,False
U-03b297fe,S-7fc7e634,2021-11-05,feature_23,14,4005,1,False
U-f9b95c29,S-b336c656,2021-09-09,feature_9,5,1800,0,True
U-c786d2ea,S-7ddf3dc3,2024-07-18,feature_29,8,10677,0,False
U-378244b4,S-865c2f78,2022-03-03,feature_1,12,1267,1,True
U-9fe54d19,S-b250c372,2021-07-07,feature_26,11,589,0,False
U-a9f0e0d1,S-4acd7ab1,2024-11-21,feature_23,11,1118,2,False
U-59665748,S-e660021d,2021-05-16,feature_5,11,1802,0,False
U-84e253a1,S-2f491129,2021-01-18,feature_40,5,9551,0,False
U-142fbed1,S-1f41a05c,2021-09-15,feature_4,5,1642,0,False
U-53c90335,S-fb91fcac,2023-10-19,feature_16,7,3755,0,True
U-1452fc70,S-97182c1a,2023-03-15,feature_3,13,365,1,True
U-a040dcaf,S-f2e62e6e,2022-09-30,feature_38,12,1208,0,False
U-07531125,S-c8e84843,2021-02-12,feature_13,7,4994,0,False
U-370af040,S-0da0bc30,2021-10-05,feature_30,12,2727,0,False
U-895ae352,S-a1607fca,2021-01-17,feature_11,10,2557,0,False
U-b2f56bc5,S-1de94745,2024-01-19,feature_35,7,724,0,False
U-d0a31060,S-d5c384bd,2023-01-01,feature_30,15,1578,0,False
U-a6566ced,S-c16790e5,2022-12-23,feature_39,10,1527,0,False
U-893a8cc8,S-b6721bad,2024-09-05,feature_19,8,1653,0,False
U-2f352185,S-d65ea9ed,2024-12-11,feature_5,9,809,0,False
U-44896580,S-80cd7761,2024-10-26,feature_8,5,925,0,False
U-16fb3103,S-e4290c61,2024-10-22,feature_18,12,469,0,False
U-d9808cb1,S-31d7e923,2024-01-03,feature_20,10,4668,0,False
U-93d26001,S-1a77c3c5,2022-09-09,feature_22,7,4613,0,True
U-738c833a,S-f4a883d6,2021-07-10,feature_17,9,1376,0,False
U-b7da0365,S-38a2e37b,2022-02-20,feature_38,11,3796,0,True
U-a67fb551,S-46559350,2021-08-25,feature_9,10,1743,0,False
U-b59ed876,S-d1c660da,2024-07-29,feature_10,13,2756,0,False
U-d730178c,S-e9a0ec1a,2023-04-27,feature_30,9,5423,0,False
U-207f70c2,S-32623326,2024-02-25,feature_2,4,5913,0,False
U-ca5d17fc,S-2a41564c,2021-04-15,feature_31,6,884,0,False
U-7af4fb23,S-94133419,2024-05-12,feature_6,6,8824,0,False
U-a3e74d31,S-36f61259,2024-11-01,feature_37,10,633,1,False
U-cd778162,S-75977f29,2021-01-27,feature_29,5,2140,0,False
U-2b48cebc,S-964d6b79,2021-03-17,feature_26,6,8407,0,False
U-ca85d226,S-dfc5c255,2023-04-29,feature_9,9,1272,0,False
U-c8c678ae,S-dbcd9380,2023-08-20,feature_26,6,11778,0,False
U-1bdbe3b4,S-474def51,2022-09-27,feature_15,9,3371,1,False
U-a761676a,S-b8902691,2022-12-20,feature_6,13,1091,1,False
U-08d68eac,S-75407bdc,2022-12-04,feature_14,3,5879,0,False
U-07fd5a10,S-c38a515b,2022-10-21,feature_21,12,4153,0,False
U-36b77909,S-68dd88dd,2021-10-14,feature_5,11,4824,0,False
U-7cdc0553,S-680b3aae,2021-07-25,feature_14,15,3124,0,True
U-5ecdece2,S-ee32a5a4,2022-05-17,feature_4,9,10716,1,False
U-c04a8a33,S-2639348f,2024-08-31,feature_12,5,72,0,False
U-af2a01d3,S-21844fc7,2021-05-22,feature_32,9,121,0,False
U-cb88497f,S-c9e534eb,2023-12-23,feature_13,13,140,0,False
U-96a180c8,S-a2385269,2023-07-08,feature_19,7,519,0,True
U-c1d547c9,S-eb23a9c3,2023-09-26,feature_15,14,2736,2,False
U-be54c31b,S-b8902691,2022-01-15,feature_24,8,5738,0,False
U-2e028aa2,S-e7000025,2023-01-16,feature_22,6,3936,0,False
U-1005fd15,S-7fa8de13,2022-06-02,feature_13,7,159,0,False
U-2cb5a766,S-1d01485e,2024-07-23,feature_22,9,755,0,False
U-13984b85,S-c050d3bb,2022-07-03,feature_33,13,1063,0,False
U-d9c1b8e2,S-fa95b88b,2022-01-05,feature_2,13,904,0,False
U-5b9914c5,S-f9ca1e7d,2021-11-30,feature_7,12,1278,0,False
U-bf6996f1,S-df31cd21,2022-10-27,feature_23,15,3139,0,False
U-02e381e8,S-e42b8a92,2022-08-07,feature_24,9,502,0,True
U-aff50a5a,S-8daee65a,2021-11-01,feature_36,15,3897,0,False
U-2c672e58,S-252f6c7d,2021-11-03,feature_35,8,4565,0,False
U-836cd5ce,S-d736a8b2,2023-12-19,feature_1,5,1564,0,True
U-a5fd94bf,S-3e2da0fd,2023-12-22,feature_23,8,1532,0,False
U-f3455167,S-89f82320,2021-07-31,feature_17,9,1130,0,False
U-a43dab15,S-ccd7aa6f,2024-08-29,feature_29,11,4349,0,True
U-4ba85a77,S-9508acc7,2021-04-03,feature_23,7,906,0,True
U-99e38759,S-8e9790cb,2023-06-26,feature_37,7,3148,0,False
U-4d0ec8a9,S-a39b846f,2021-04-07,feature_17,11,1925,0,False
U-abbaa6c0,S-e7590694,2021-02-20,feature_23,16,2643,1,False
U-83e815d7,S-b5472088,2024-07-20,feature_3,12,2436,0,False
U-1d068ddd,S-d206ef9e,2022-06-18,feature_1,15,4379,0,False
U-a461e2b8,S-3a825b3e,2022-12-17,feature_5,14,2190,0,False
U-6157db44,S-c3cac1dc,2021-10-02,feature_38,4,8500,0,False
U-43347668,S-a7843307,2023-03-27,feature_36,7,4381,0,False
U-28838e2f,S-e66fd519,2023-04-07,feature_16,7,3365,0,False
U-bfd97af3,S-f29401e2,2021-07-24,feature_20,10,7996,0,False
U-3cf712e3,S-16839be3,2022-01-16,feature_33,5,1132,2,False
U-729522d8,S-3e4421f8,2022-07-24,feature_7,2,1434,0,False
U-456f28d4,S-f25d0cd5,2023-02-08,feature_29,11,831,0,False
U-bcdb2cda,S-92ab71ea,2023-03-25,feature_5,10,1757,0,False
U-c75be467,S-04811c71,2023-11-27,feature_24,8,3671,0,False
U-fa51dedd,S-05d0639b,2023-06-01,feature_34,5,1116,1,False
U-4c358c54,S-70007345,2024-07-30,feature_16,14,2024,0,False
U-cad2fb3a,S-ef321456,2021-02-25,feature_11,9,275,0,False
U-8cc3b8c4,S-a82b348a,2024-11-21,feature_8,8,4886,0,False
U-c762e4c7,S-9dc9f092,2021-09-22,feature_3,5,943,0,False
U-7d4f2faf,S-0b7bd22a,2022-06-13,feature_36,7,3123,0,True
U-639bb3bd,S-208c486f,2021-09-23,feature_13,8,1719,2,False
U-93eec960,S-63d94994,2022-06-12,feature_21,13,174,0,False
U-02d4bb2e,S-2ae6a508,2021-02-21,feature_32,7,4537,0,True
U-251f1ea0,S-a38d4f57,2023-07-08,feature_18,9,596,0,False
U-e5ef4d32,S-5604dc4f,2024-10-22,feature_30,7,1201,0,True
U-5662bd34,S-14530c88,2024-07-12,feature_21,11,567,0,False
U-0c30b3de,S-3771abbb,2023-09-18,feature_12,8,1720,0,False
U-53b1b42c,S-870e22af,2024-12-06,feature_8,7,484,0,False
U-fcc03bf4,S-f235453e,2022-03-03,feature_20,6,77,1,False
U-ea206b68,S-bb6fd328,2023-01-08,feature_3,9,971,0,False
U-9fcef4f9,S-c15d03f9,2023-03-09,feature_39,5,3496,1,False
U-01b26f8d,S-8723feb2,2021-01-04,feature_10,8,9396,0,False
U-7ed731b3,S-951df58c,2024-06-19,feature_19,11,3227,0,False
U-4d00946e,S-5a627ac9,2024-05-12,feature_4,14,6247,1,False
U-d9f851df,S-cd0b8fd5,2021-12-08,feature_26,8,801,0,False
U-243a6bfc,S-de1e2b18,2024-01-11,feature_9,10,54,0,False
U-1e9ba748,S-f9d93539,2024-05-01,feature_31,9,3446,0,False
U-18fd3afb,S-c83c6f8c,2021-10-12,feature_18,9,1640,0,False
U-eb9a6b03,S-2c1855af,2021-09-05,feature_9,8,2821,0,False
U-65aaf613,S-5a95c6b2,2022-10-18,feature_35,8,327,0,False
U-4cd4140d,S-32dcadea,2023-10-11,feature_10,11,3785,0,False
U-d7fff789,S-d0836a4d,2021-04-29,feature_34,3,899,0,False
U-5fc19b63,S-464cbccd,2024-08-20,feature_39,5,254,0,False
U-8f5efb17,S-7b45d87c,2022-03-16,feature_13,9,8323,0,False
U-a8f5c8b3,S-e95f53ad,2021-09-02,feature_39,4,1660,1,False
U-7f616378,S-f4239f83,2023-11-09,feature_26,9,1764,0,False
U-a3d3aab5,S-9351846f,2024-10-26,feature_12,16,822,0,True
U-cc1a1824,S-d6c2ecd7,2022-06-12,feature_29,7,903,0,False
U-a816b46e,S-03267819,2022-06-24,feature_17,5,6197,2,False
U-83cdea59,S-cf974c7b,2022-02-15,feature_3,10,577,0,False
U-a0d14785,S-ad7e69b1,2023-06-16,feature_18,9,1361,0,False
U-1dba0356,S-810d5191,2023-03-31,feature_1,16,470,0,False
U-4359cb39,S-00f734d8,2023-06-10,feature_25,10,3057,0,False
U-356cfd43,S-fb163527,2023-11-29,feature_29,7,1354,0,False
U-086bd288,S-d0c249da,2022-04-09,feature_15,14,7281,0,False
U-9ce2ebd8,S-7ab59c3c,2021-03-18,feature_12,8,754,0,False
U-979a4baa,S-d3ac14de,2022-10-31,feature_28,8,2690,1,False
U-1724e9c4,S-33cdc910,2021-08-03,feature_40,0,1025,0,False
U-13da5087,S-e9d431ce,2023-08-03,feature_39,16,382,0,False
U-adbb402f,S-2e053740,2024-06-10,feature_23,7,504,0,False
U-2d457aa9,S-4669f9d0,2022-05-18,feature_29,9,1818,0,False
U-6eed2098,S-e6474367,2021-05-11,feature_8,11,246,1,False
U-fb858472,S-ea22b007,2023-09-10,feature_16,8,1490,0,False
U-6afc4185,S-8e42d2bf,2022-09-01,feature_17,7,132,0,False
U-741d3004,S-3a881f6b,2021-09-12,feature_26,11,2487,0,False
U-51f4e4e2,S-f5ed152e,2021-04-18,feature_16,4,2029,1,True
U-50248cda,S-7b9c331e,2024-10-13,feature_1,11,4173,1,False
U-547cc803,S-3f1d5cb6,2021-09-05,feature_35,12,29,0,False
U-769f1de3,S-5c82d8f9,2022-02-06,feature_40,15,3681,0,False
U-5fee2e02,S-6dc45f54,2021-01-21,feature_13,9,168,1,False
