account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,is_trial,churn_flag
A-85a76f,Company_25,EdTech,NL,2024-03-01,organic,Basic,165,False,False
A-60fec0,Company_26,Cybersecurity,DE,2021-04-13,event,Pro,84,False,True
A-38094a,Company_27,Cybersecurity,IN,2022-07-24,partner,Pro,21,False,False
A-3a19f8,Company_28,Cybersecurity,US,2022-12-18,ads,Enterprise,18,False,False
A-42ab46,Company_29,FinTech,US,2022-05-22,ads,Basic,160,False,True
A-87d27b,Company_30,FinTech,GB,2024-03-01,ads,Pro,180,False,False
A-77d382,Company_31,FinTech,NL,2024-05-28,organic,Basic,80,True,True
A-c166a2,Company_32,FinTech,AU,2024-03-25,partner,Pro,184,False,False
A-064dcf,Company_33,DevTools,CA,2021-07-28,event,Enterprise,154,False,False
A-410bfd,Company_34,Cybersecurity,NL,2021-03-26,event,Enterprise,110,False,True
A-29b014,Company_35,DevTools,FR,2021-01-26,partner,Pro,28,False,False
A-fa82d4,Company_36,EdTech,SG,2024-12-19,ads,Pro,46,False,False
A-e6fa42,Company_37,DevTools,AU,2024-06-15,other,Pro,120,False,False
A-57e924,Company_38,Cybersecurity,AU,2022-10-23,ads,Basic,72,False,True
A-a91287,Company_39,FinTech,SG,2024-03-13,other,Enterprise,98,False,False
A-0143b8,Company_40,HealthTech,FR,2022-01-08,partner,Basic,91,False,True
A-85322a,Company_41,FinTech,NL,2024-12-07,event,Enterprise,3,False,True
A-f5777d,Company_42,FinTech,CA,2023-04-13,partner,Enterprise,195,False,False
A-4c64d5,Company_43,FinTech,SG,2023-07-07,organic,Basic,76,False,False
A-0249c4,Company_44,HealthTech,AU,2024-09-21,other,Pro,122,False,True
A-2bcd7c,Company_45,FinTech,BR,2022-11-09,event,Enterprise,117,False,True
A-f4d2c5,Company_46,FinTech,GB,2022-01-30,event,Basic,191,False,False
A-abbbd0,Company_47,HealthTech,DE,2022-01-28,ads,Enterprise,124,False,False
A-3bb1ee,Company_48,FinTech,BR,2024-05-07,event,Basic,50,False,False
A-51eed3,Company_49,FinTech,AU,2021-01-29,other,Basic,71,True,True
A-f11b19,Company_50,DevTools,AU,2024-11-29,ads,Enterprise,193,False,False
A-0bcb7a,Company_51,DevTools,NL,2022-08-06,partner,Pro,113,False,False
A-674f3d,Company_52,EdTech,AU,2023-09-06,organic,Basic,103,False,False
A-bbe512,Company_53,Cybersecurity,US,2021-11-07,ads,Enterprise,78,True,True
A-f3890c,Company_54,DevTools,BR,2023-05-03,other,Enterprise,159,False,False
A-b1f3cb,Company_55,FinTech,SG,2023-06-26,event,Enterprise,110,False,False
A-2f36c1,Company_56,Cybersecurity,NL,2021-07-23,ads,Enterprise,55,False,True
A-0c9ef2,Company_57,FinTech,CA,2021-12-22,other,Basic,41,True,False
A-d9e9fc,Company_58,FinTech,NL,2023-08-21,event,Basic,60,False,True
A-5a868a,Company_59,HealthTech,SG,2021-05-26,ads,Pro,161,False,False
A-cddcac,Company_60,FinTech,CA,2023-05-21,organic,Enterprise,58,False,False
A-51ca60,Company_61,HealthTech,DE,2021-05-27,organic,Basic,79,False,False
A-02fad5,Company_62,DevTools,AU,2023-06-19,organic,Pro,177,False,False
A-63c268,Company_63,FinTech,AU,2023-10-22,other,Pro,113,True,True
A-b0fdf8,Company_64,DevTools,IN,2022-10-23,other,Pro,7,True,False
A-26bbfd,Company_65,DevTools,NL,2024-04-17,organic,Enterprise,69,False,False
A-3f7dbc,Company_66,Cybersecurity,DE,2023-08-22,other,Enterprise,114,False,True
A-d5772f,Company_67,FinTech,NL,2023-06-12,partner,Basic,121,False,True
A-4182b6,Company_68,HealthTech,GB,2021-11-26,event,Pro,178,False,False
A-d07cf7,Company_69,EdTech,IN,2024-02-01,organic,Pro,23,False,True
A-76a68f,Company_70,DevTools,IN,2023-11-20,organic,Enterprise,139,False,True
A-0c8a26,Company_71,EdTech,BR,2023-01-11,other,Pro,161,False,True
A-7231b2,Company_72,Cybersecurity,AU,2024-01-30,ads,Pro,113,False,False
A-2be2ac,Company_73,HealthTech,US,2024-07-14,other,Basic,182,False,False
A-780b56,Company_74,HealthTech,BR,2023-04-16,organic,Basic,30,False,True
A-518980,Company_75,HealthTech,DE,2023-10-18,event,Enterprise,181,False,False
A-08a972,Company_76,FinTech,SG,2022-05-15,partner,Enterprise,38,False,False
A-4fc1cc,Company_77,HealthTech,BR,2021-10-07,organic,Pro,198,False,False
A-ab8f61,Company_78,FinTech,BR,2022-07-02,organic,Pro,186,False,False
A-4f8805,Company_79,FinTech,SG,2021-11-01,partner,Enterprise,124,False,False
A-49256a,Company_80,DevTools,BR,2023-02-12,partner,Pro,49,False,True
A-d87876,Company_81,DevTools,IN,2022-04-24,partner,Basic,82,False,False
A-fd7c5d,Company_82,EdTech,IN,2023-03-02,ads,Pro,10,True,False
A-3c413d,Company_83,Cybersecurity,FR,2021-07-25,partner,Basic,135,False,True
A-eca077,Company_84,HealthTech,DE,2023-04-20,ads,Basic,121,False,True
A-11cce9,Company_85,EdTech,NL,2024-11-19,partner,Enterprise,21,False,False
A-488393,Company_86,HealthTech,BR,2023-02-18,event,Enterprise,184,False,False
A-59672e,Company_87,DevTools,BR,2021-03-15,other,Basic,61,False,False
A-7b3b51,Company_88,EdTech,CA,2021-07-05,partner,Basic,195,False,False
A-9a2c4f,Company_89,DevTools,SG,2021-12-07,event,Basic,12,False,True
A-6df3cb,Company_90,DevTools,FR,2023-02-07,partner,Basic,63,False,False
A-9a8bb2,Company_91,FinTech,DE,2021-12-15,ads,Basic,157,False,False
A-e1406a,Company_92,Cybersecurity,CA,2023-10-17,other,Basic,60,False,True
A-e5e60e,Company_93,FinTech,AU,2024-09-27,organic,Pro,74,False,True
A-36181a,Company_94,FinTech,SG,2022-12-09,other,Pro,164,False,False
A-f26363,Company_95,DevTools,SG,2022-09-11,ads,Pro,124,True,False
A-643967,Company_96,DevTools,FR,2024-03-23,event,Enterprise,76,True,False
A-4e2188,Company_97,HealthTech,IN,2022-07-17,organic,Enterprise,176,False,False
A-3633b2,Company_98,HealthTech,NL,2023-10-15,event,Basic,156,False,True
A-dc726d,Company_99,FinTech,CA,2024-06-25,event,Enterprise,194,False,False
A-51e832,Company_100,Cybersecurity,DE,2024-07-10,organic,Enterprise,166,True,False
A-715861,Company_101,HealthTech,US,2024-04-01,event,Enterprise,34,True,True
A-2feda1,Company_102,Cybersecurity,IN,2021-12-26,ads,Basic,139,False,False
A-3a65d6,Company_103,HealthTech,BR,2022-07-13,ads,Pro,124,False,True
A-6e303f,Company_104,DevTools,FR,2021-08-24,partner,Basic,37,False,True
A-703310,Company_105,Cybersecurity,IN,2024-02-16,event,Basic,102,True,False
A-01c648,Company_106,FinTech,SG,2023-01-25,event,Enterprise,98,False,False
A-4a3e3a,Company_107,HealthTech,GB,2024-10-14,ads,Pro,7,False,False
A-293305,Company_108,FinTech,FR,2024-06-03,ads,Enterprise,17,False,False
A-999860,Company_109,Cybersecurity,AU,2024-08-22,partner,Basic,36,True,True
A-2109a3,Company_110,DevTools,SG,2021-08-26,organic,Basic,138,True,False
A-40abca,Company_111,HealthTech,BR,2023-05-09,other,Enterprise,187,False,False
A-61408e,Company_112,DevTools,GB,2023-09-30,other,Pro,72,True,False
A-579d6a,Company_113,DevTools,SG,2023-06-30,ads,Pro,26,False,False
A-0e6fb8,Company_114,HealthTech,FR,2021-05-05,partner,Pro,49,False,False
A-efbe71,Company_115,EdTech,SG,2021-07-07,ads,Enterprise,164,False,True
A-188cb6,Company_116,EdTech,FR,2022-05-14,ads,Enterprise,53,True,False
A-d22b13,Company_117,FinTech,CA,2024-04-15,ads,Basic,85,False,False
A-45a1c6,Company_118,DevTools,NL,2021-01-06,event,Basic,34,False,False
A-c4599d,Company_119,Cybersecurity,GB,2024-09-15,organic,Basic,4,False,False
A-b853d2,Company_120,DevTools,NL,2022-10-26,organic,Basic,68,True,False
A-a48e9a,Company_121,Cybersecurity,BR,2021-08-21,organic,Pro,115,False,False
A-df55b3,Company_122,EdTech,GB,2023-07-15,other,Basic,158,True,False
A-fd34f6,Company_123,Cybersecurity,BR,2022-09-10,partner,Enterprise,8,True,False
A-5d149a,Company_124,Cybersecurity,IN,2023-05-24,organic,Pro,183,False,True
A-dee10f,Company_125,HealthTech,GB,2022-10-22,other,Basic,17,True,False
A-216da3,Company_126,Cybersecurity,NL,2024-01-29,event,Pro,153,False,False
A-12a8c7,Company_127,FinTech,NL,2023-06-01,organic,Enterprise,30,False,False
A-7cb77a,Company_128,FinTech,BR,2022-03-17,partner,Pro,59,False,False
A-9175e6,Company_129,Cybersecurity,IN,2023-05-02,organic,Pro,110,False,True
A-ba0f8c,Company_130,Cybersecurity,DE,2024-11-07,partner,Basic,24,False,True
A-949e9c,Company_131,DevTools,GB,2023-02-03,ads,Enterprise,16,False,False
A-2b9974,Company_132,DevTools,FR,2024-10-04,organic,Pro,91,False,False
A-3dc038,Company_133,EdTech,IN,2021-04-16,event,Enterprise,80,False,False
A-dbf513,Company_134,Cybersecurity,CA,2021-11-13,partner,Basic,28,False,False
A-0edc7e,Company_135,DevTools,GB,2022-07-25,other,Basic,110,False,False
A-2b8e44,Company_136,Cybersecurity,NL,2024-06-10,other,Basic,156,False,False
A-8d201d,Company_137,Cybersecurity,AU,2021-03-01,ads,Pro,180,False,False
A-4ef13f,Company_138,HealthTech,FR,2021-01-13,ads,Basic,145,False,True
A-f4c25c,Company_139,EdTech,US,2021-07-07,other,Basic,97,False,True
A-0dd367,Company_140,FinTech,FR,2022-10-01,event,Enterprise,153,True,True
A-dabc1b,Company_141,EdTech,DE,2024-06-19,organic,Enterprise,21,False,False
A-faad0f,Company_142,DevTools,SG,2024-05-28,partner,Pro,70,False,False
A-b36d98,Company_143,FinTech,FR,2023-05-31,organic,Pro,174,False,False
A-ba7802,Company_144,FinTech,AU,2021-04-04,ads,Pro,154,True,True
A-f2b464,Company_145,FinTech,CA,2021-10-09,event,Pro,84,True,False
A-8eb0b9,Company_146,HealthTech,IN,2021-12-26,ads,Pro,137,False,False
A-2312e2,Company_147,Cybersecurity,FR,2021-05-28,partner,Enterprise,11,False,False
A-3cccbc,Company_148,Cybersecurity,GB,2022-10-04,other,Pro,147,False,False
A-8e171c,Company_149,EdTech,AU,2021-08-24,partner,Basic,84,False,False
A-26efad,Company_150,FinTech,SG,2024-11-13,event,Basic,112,False,True
A-ab9ba5,Company_151,FinTech,NL,2023-04-01,other,Basic,102,False,False
A-a4bc9c,Company_152,EdTech,CA,2022-11-14,ads,Basic,131,False,False
A-40fc24,Company_153,Cybersecurity,CA,2022-12-17,event,Enterprise,166,False,True
A-ac7019,Company_154,HealthTech,DE,2022-06-09,ads,Basic,155,False,False
A-ce9869,Company_155,EdTech,GB,2021-12-29,partner,Pro,194,False,False
A-82c3e3,Company_156,Cybersecurity,NL,2024-08-09,other,Pro,161,False,False
A-af8daf,Company_157,DevTools,SG,2023-06-25,event,Pro,152,True,False
A-04a246,Company_158,EdTech,AU,2023-08-04,partner,Basic,15,False,True
A-77cb78,Company_159,DevTools,GB,2024-06-13,other,Enterprise,99,False,False
A-4f498a,Company_160,FinTech,US,2023-07-11,other,Enterprise,49,False,False
A-b515e1,Company_161,Cybersecurity,DE,2021-05-07,partner,Basic,88,False,True
A-9e2b64,Company_162,Cybersecurity,DE,2021-03-22,ads,Enterprise,113,False,False
A-a3efac,Company_163,Cybersecurity,NL,2021-11-22,event,Pro,73,False,False
A-6cb2ce,Company_164,HealthTech,NL,2021-04-18,event,Basic,85,True,False
A-09bda1,Company_165,Cybersecurity,AU,2022-06-01,other,Basic,86,True,False
A-87ec94,Company_166,FinTech,FR,2022-09-28,partner,Basic,153,False,True
A-9dfcee,Company_167,FinTech,BR,2023-02-11,event,Basic,172,False,False
A-2151c8,Company_168,HealthTech,BR,2021-07-11,partner,Enterprise,93,True,True
A-67e8d1,Company_169,HealthTech,CA,2022-12-01,partner,Basic,58,False,True
A-396e8b,Company_170,FinTech,AU,2021-07-27,other,Enterprise,190,False,True
A-205093,Company_171,FinTech,FR,2024-06-19,ads,Enterprise,97,False,True
A-4f4bc8,Company_172,HealthTech,NL,2021-12-06,partner,Basic,106,False,False
A-274168,Company_173,DevTools,SG,2024-06-04,event,Enterprise,115,False,True
A-50e35d,Company_174,DevTools,SG,2022-02-02,event,Enterprise,147,False,False
A-95248b,Company_175,DevTools,AU,2023-02-22,other,Enterprise,108,False,False
A-68948f,Company_176,Cybersecurity,NL,2021-10-11,event,Basic,165,False,False
A-f56c83,Company_177,DevTools,GB,2024-12-27,other,Basic,73,True,True
A-27e0e9,Company_178,HealthTech,SG,2023-11-18,ads,Pro,24,False,True
A-b46328,Company_179,EdTech,SG,2022-12-17,organic,Pro,14,False,False
A-393763,Company_180,Cybersecurity,IN,2021-06-17,event,Basic,8,False,True
A-66b64e,Company_181,FinTech,FR,2021-10-27,ads,Basic,74,False,False
A-503d27,Company_182,FinTech,DE,2024-12-15,partner,Pro,158,True,True
A-7b6eee,Company_183,EdTech,AU,2022-03-18,ads,Enterprise,187,False,False
A-10fde3,Company_184,HealthTech,AU,2022-05-02,event,Basic,13,False,False
A-8f00d8,Company_185,DevTools,NL,2023-07-26,organic,Basic,128,False,True
A-bd844f,Company_186,DevTools,BR,2024-03-23,ads,Enterprise,37,False,True
A-9f521d,Company_187,EdTech,FR,2022-05-08,other,Pro,48,False,True
A-0bf6e3,Company_188,DevTools,FR,2021-05-19,other,Enterprise,130,False,False
A-cb96b6,Company_189,FinTech,US,2023-03-11,partner,Basic,163,False,False
A-4acad6,Company_190,HealthTech,US,2023-01-02,organic,Pro,62,False,False
A-275801,Company_191,Cybersecurity,NL,2022-11-12,ads,Basic,91,False,False
A-522b54,Company_192,Cybersecurity,DE,2024-11-03,partner,Enterprise,123,False,False
A-1f44c7,Company_193,EdTech,GB,2023-07-27,organic,Pro,52,True,True
A-23c1ea,Company_194,FinTech,US,2022-10-09,event,Enterprise,102,False,False
A-37b909,Company_195,Cybersecurity,AU,2021-03-16,ads,Pro,92,False,True
A-121302,Company_196,DevTools,FR,2022-07-14,organic,Pro,112,False,False
A-147497,Company_197,DevTools,IN,2022-11-26,ads,Pro,178,False,False
A-7f7de2,Company_198,FinTech,BR,2022-07-01,organic,Enterprise,109,True,False
A-0c36d9,Company_199,EdTech,DE,2024-01-23,event,Pro,27,True,False
A-a721c1,Company_200,Cybersecurity,AU,2023-07-03,other,Enterprise,110,False,False
A-7b1bc8,Company_201,Cybersecurity,SG,2021-03-28,event,Enterprise,112,False,False
A-3a41b2,Company_202,HealthTech,US,2021-06-03,partner,Pro,132,False,False
A-f10061,Company_203,EdTech,US,2021-10-20,other,Enterprise,113,True,True
A-5ba322,Company_204,Cybersecurity,FR,2023-01-12,partner,Enterprise,9,False,False
A-9aab82,Company_205,EdTech,FR,2023-02-01,partner,Basic,147,True,False
A-b56ab1,Company_206,FinTech,FR,2024-08-23,event,Basic,30,True,True
A-89fca7,Company_207,DevTools,BR,2023-03-04,other,Basic,68,False,False
A-7aee9c,Company_208,FinTech,CA,2024-06-07,event,Enterprise,126,False,True
A-ba42fc,Company_209,FinTech,GB,2023-07-15,ads,Enterprise,114,False,False
A-0d5e78,Company_210,HealthTech,FR,2024-09-29,event,Enterprise,17,False,True
A-49535d,Company_211,HealthTech,AU,2021-11-19,ads,Pro,131,False,False
A-bb6306,Company_212,EdTech,DE,2022-04-30,partner,Basic,93,False,False
A-4f020e,Company_213,Cybersecurity,BR,2021-09-23,other,Basic,17,False,False
A-e1796c,Company_214,EdTech,SG,2023-12-13,partner,Pro,148,True,False
A-0ff5dc,Company_215,HealthTech,GB,2023-07-11,partner,Enterprise,133,False,False
A-661aa8,Company_216,Cybersecurity,BR,2024-08-03,other,Basic,197,False,False
A-1f7327,Company_217,EdTech,US,2021-09-12,other,Basic,78,False,True
A-d8fe58,Company_218,EdTech,CA,2022-12-10,other,Pro,21,False,False
A-fbe78b,Company_219,DevTools,BR,2022-07-17,ads,Enterprise,78,False,True
A-bc0a07,Company_220,FinTech,DE,2024-04-27,other,Basic,44,False,False
A-e6ef8b,Company_221,EdTech,NL,2022-11-23,other,Basic,8,True,False
A-275a5e,Company_222,DevTools,NL,2022-06-27,ads,Enterprise,107,False,True
A-641031,Company_223,HealthTech,BR,2022-08-17,event,Pro,63,False,False
A-c1d6f0,Company_224,DevTools,AU,2023-07-18,organic,Enterprise,16,False,False
A-c0260e,Company_225,EdTech,SG,2022-02-22,event,Enterprise,37,False,False
A-2b89d4,Company_226,DevTools,FR,2023-03-28,ads,Pro,132,False,True
A-ed72be,Company_227,Cybersecurity,SG,2021-09-08,event,Pro,64,True,True
A-127d60,Company_228,FinTech,IN,2024-06-14,partner,Basic,41,False,False
A-144089,Company_229,EdTech,FR,2022-01-24,ads,Pro,132,False,False
A-825eb0,Company_230,EdTech,SG,2021-02-17,organic,Pro,130,False,True
A-b4365e,Company_231,HealthTech,NL,2022-12-24,organic,Basic,73,False,False
A-dccde9,Company_232,FinTech,SG,2022-08-09,other,Basic,28,False,False
A-31d091,Company_233,HealthTech,FR,2023-04-06,event,Basic,103,True,False
A-99203a,Company_234,DevTools,FR,2024-02-08,event,Basic,99,False,False
A-3ea8a3,Company_235,HealthTech,AU,2024-06-30,other,Basic,33,False,False
A-7c6a4f,Company_236,DevTools,FR,2024-02-17,event,Basic,51,False,False
A-7c73b8,Company_237,EdTech,US,2021-04-03,organic,Basic,183,False,False
A-186adc,Company_238,FinTech,SG,2021-11-02,other,Enterprise,36,False,False
A-3f39a3,Company_239,Cybersecurity,DE,2023-03-16,other,Enterprise,77,False,False
A-b32d86,Company_240,HealthTech,BR,2023-12-27,partner,Enterprise,145,False,False
A-b040a0,Company_241,DevTools,FR,2022-11-10,organic,Pro,150,False,False
A-c32b0a,Company_242,DevTools,US,2024-05-07,partner,Pro,168,False,False
A-aad5c7,Company_243,FinTech,NL,2022-04-12,organic,Enterprise,123,False,False
A-2bf8bb,Company_244,Cybersecurity,NL,2023-02-18,ads,Enterprise,63,True,False
A-9b417b,Company_245,FinTech,GB,2022-01-26,organic,Pro,81,False,False
A-d98759,Company_246,DevTools,CA,2023-04-21,other,Enterprise,121,False,False
A-cea72b,Company_247,EdTech,US,2024-12-16,ads,Enterprise,54,False,False
A-1bf244,Company_248,FinTech,SG,2023-12-13,partner,Pro,45,False,False
A-d16ef7,Company_249,FinTech,BR,2022-12-27,event,Enterprise,124,False,True
A-79589c,Company_250,Cybersecurity,BR,2022-09-04,ads,Pro,198,False,True
A-27cc2c,Company_251,EdTech,SG,2022-10-12,partner,Pro,144,False,False
A-babd7f,Company_252,EdTech,AU,2022-08-13,organic,Enterprise,174,False,False
A-68ffd0,Company_253,EdTech,IN,2022-12-08,ads,Pro,11,False,False
A-671cbf,Company_254,EdTech,FR,2023-06-25,event,Enterprise,123,False,False
A-0b1c34,Company_255,DevTools,AU,2024-02-26,event,Basic,28,False,False
A-71c2db,Company_256,Cybersecurity,CA,2021-04-14,other,Basic,164,False,True
A-8a8f8a,Company_257,EdTech,FR,2023-08-26,organic,Enterprise,198,True,False
A-bc1b91,Company_258,FinTech,DE,2023-04-14,partner,Pro,167,False,False
A-cf45d3,Company_259,Cybersecurity,FR,2022-08-08,organic,Basic,167,False,False
A-54f16c,Company_260,FinTech,US,2021-12-25,partner,Basic,10,False,False
A-001d08,Company_261,HealthTech,SG,2022-01-17,event,Basic,3,False,False
A-b913b0,Company_262,DevTools,FR,2022-08-06,partner,Enterprise,140,False,False
A-8d94af,Company_263,Cybersecurity,DE,2023-10-30,partner,Pro,50,False,True
A-9a9689,Company_264,DevTools,SG,2024-08-20,event,Enterprise,48,True,True
A-572cc7,Company_265,HealthTech,AU,2024-03-08,ads,Basic,157,False,False
A-626bb3,Company_266,EdTech,IN,2023-11-22,event,Basic,103,False,True
A-ed6bb8,Company_267,HealthTech,DE,2023-09-05,event,Basic,2,False,True
A-795e78,Company_268,HealthTech,AU,2022-11-07,event,Enterprise,186,False,True
A-e3bd6e,Company_269,DevTools,FR,2024-11-19,ads,Basic,171,True,True
A-253b47,Company_270,FinTech,IN,2024-11-06,other,Enterprise,198,False,True
A-2ca16b,Company_271,HealthTech,AU,2023-01-23,other,Basic,57,False,False
A-21c968,Company_272,FinTech,SG,2024-05-25,event,Pro,180,False,False
A-64ddde,Company_273,HealthTech,BR,2024-09-22,ads,Basic,175,False,False
A-4064bb,Company_274,DevTools,GB,2023-12-13,partner,Enterprise,181,False,False
A-16905a,Company_275,Cybersecurity,GB,2021-05-07,other,Enterprise,52,False,True
A-daa5e1,Company_276,Cybersecurity,FR,2023-12-02,partner,Basic,175,False,False
A-9e5b2d,Company_277,FinTech,GB,2023-11-12,partner,Basic,117,True,False
A-bc727c,Company_278,Cybersecurity,NL,2021-04-29,other,Pro,173,False,False
A-00d9f1,Company_279,HealthTech,IN,2022-06-06,organic,Enterprise,56,False,True
A-309d6a,Company_280,FinTech,FR,2024-12-05,organic,Enterprise,16,False,True
A-ca5e0e,Company_281,DevTools,SG,2021-03-06,event,Pro,47,False,False
A-bf83ac,Company_282,Cybersecurity,IN,2023-02-06,partner,Pro,97,False,False
A-6fdb5c,Company_283,HealthTech,BR,2021-09-30,event,Basic,46,False,False
A-91c9c6,Company_284,HealthTech,DE,2022-04-02,organic,Basic,77,False,False
A-1aa01f,Company_285,HealthTech,IN,2023-12-26,partner,Basic,64,False,True
A-d766b2,Company_286,HealthTech,CA,2021-08-20,organic,Enterprise,108,False,False
A-e71149,Company_287,DevTools,US,2022-05-08,ads,Basic,26,False,False
A-31dcb8,Company_288,Cybersecurity,US,2022-05-17,organic,Pro,113,False,True
A-46fc8d,Company_289,Cybersecurity,US,2021-10-14,other,Pro,60,False,False
A-f1d958,Company_290,DevTools,FR,2024-03-28,other,Enterprise,83,False,False
A-388d16,Company_291,DevTools,BR,2022-03-29,partner,Pro,71,True,False
A-c6ab7a,Company_292,Cybersecurity,DE,2024-07-06,partner,Enterprise,127,True,True
A-b67e99,Company_293,EdTech,IN,2023-12-11,event,Enterprise,107,False,True
A-a771e3,Company_294,Cybersecurity,DE,2024-01-07,partner,Basic,58,False,False
A-702e67,Company_295,DevTools,SG,2021-04-29,other,Pro,107,False,True
A-e979f8,Company_296,HealthTech,CA,2022-06-07,ads,Pro,166,True,False
A-e6343a,Company_297,HealthTech,FR,2021-07-09,other,Enterprise,49,True,False
A-9f63c6,Company_298,FinTech,NL,2024-05-19,organic,Basic,49,False,False
A-14e75c,Company_299,DevTools,BR,2022-03-21,partner,Basic,86,False,False
A-bda37c,Company_300,FinTech,CA,2022-01-25,organic,Enterprise,194,False,True
A-f60e4b,Company_301,FinTech,NL,2024-12-12,ads,Pro,62,False,False
A-d5aaf6,Company_302,HealthTech,IN,2023-08-13,other,Enterprise,92,False,False
A-0268ce,Company_303,HealthTech,SG,2023-08-13,organic,Enterprise,121,False,True
A-9d992c,Company_304,DevTools,CA,2023-01-30,event,Pro,12,False,True
A-b543ff,Company_305,Cybersecurity,DE,2021-02-03,event,Enterprise,150,False,False
A-9201a1,Company_306,FinTech,DE,2022-02-06,event,Basic,98,False,True
A-6f8408,Company_307,Cybersecurity,BR,2024-09-02,event,Pro,196,False,False
A-430daf,Company_308,DevTools,SG,2023-08-02,ads,Enterprise,91,False,False
A-6e3d08,Company_309,Cybersecurity,SG,2022-01-12,other,Enterprise,16,False,False
A-ad2f33,Company_310,Cybersecurity,GB,2024-09-30,organic,Basic,106,True,False
A-993774,Company_311,DevTools,GB,2024-12-19,ads,Basic,56,False,False
A-c8e48c,Company_312,FinTech,NL,2024-07-30,other,Pro,169,False,True
A-3204d3,Company_313,HealthTech,BR,2023-04-23,organic,Basic,136,False,False
A-6487b2,Company_314,EdTech,AU,2021-02-05,other,Enterprise,173,False,False
A-cc4e00,Company_315,HealthTech,DE,2021-08-08,organic,Enterprise,39,False,False
A-bb8a0a,Company_316,Cybersecurity,AU,2022-12-27,event,Pro,21,False,False
A-a2e816,Company_317,FinTech,NL,2022-05-14,ads,Pro,176,False,True
A-8563a7,Company_318,DevTools,US,2021-07-11,partner,Pro,97,False,True
A-273a83,Company_319,Cybersecurity,US,2024-12-10,ads,Basic,128,False,False
A-8efb70,Company_320,DevTools,FR,2024-03-04,organic,Enterprise,11,False,False
A-e9662a,Company_321,Cybersecurity,NL,2023-09-01,event,Basic,20,False,True
A-85a324,Company_322,EdTech,BR,2024-02-29,organic,Basic,81,True,True
A-9c8b42,Company_323,DevTools,DE,2024-12-30,partner,Basic,77,False,True
A-280f2a,Company_324,EdTech,IN,2024-10-18,other,Pro,99,False,True
A-467260,Company_325,DevTools,GB,2023-10-23,event,Basic,26,False,False
A-d0403b,Company_326,FinTech,FR,2024-05-24,other,Enterprise,102,False,True
A-a1f6aa,Company_327,EdTech,AU,2023-07-12,partner,Basic,92,False,False
A-94b0ff,Company_328,EdTech,DE,2024-10-24,other,Enterprise,98,True,False
A-0263d2,Company_329,EdTech,CA,2024-12-31,organic,Basic,69,False,False
A-fb30f4,Company_330,HealthTech,DE,2023-03-09,event,Pro,28,True,False
A-c48f44,Company_331,HealthTech,SG,2023-01-08,event,Basic,34,True,False
A-9e9f30,Company_332,EdTech,BR,2024-02-11,other,Pro,27,True,False
A-3d5546,Company_333,DevTools,GB,2024-05-07,other,Pro,99,True,False
A-a722ec,Company_334,DevTools,GB,2024-02-20,ads,Enterprise,134,False,False
A-b95064,Company_335,Cybersecurity,DE,2022-07-05,event,Pro,127,True,True
A-176774,Company_336,FinTech,AU,2023-05-13,event,Pro,20,False,False
