ticket_id,account_id,submitted_at,closed_at,resolution_time_hours,priority,first_response_time_minutes,satisfaction_score,escalation_flag
T-10d6e2ae,A-c0f13b,2021-11-23 00:00:00,2021-11-26 03:09:19,75.16,low,148,,False
T-c9aa1414,A-99203a,2024-07-15 00:00:00,2024-07-18 08:07:47,80.13,low,12,,False
T-591c3e2e,A-64ddde,2022-04-07 00:00:00,2022-04-09 15:50:23,63.84,urgent,351,2.4,False
T-d47faebc,A-7f7de2,2022-03-11 00:00:00,2022-03-13 11:15:14,59.25,high,431,,False
T-633b219d,A-c6ab7a,2022-09-17 00:00:00,2022-09-21 12:33:13,108.55,low,107,,False
T-f17a6627,A-2b45e5,2023-04-06 00:00:00,2023-04-09 08:41:44,80.7,medium,2,3.0,False
T-5c4eab51,A-9dfcee,2023-12-16 00:00:00,2023-12-17 23:38:36,47.64,urgent,386,2.8,True
T-9ffa6f21,A-8563a7,2021-03-19 00:00:00,2021-03-19 15:30:17,15.5,urgent,92,3.9,False
T-dc10b970,A-d16ef7,2024-03-30 00:00:00,2024-04-02 16:46:29,88.77,medium,172,1.6,False
T-35da7507,A-4f020e,2021-07-09 00:00:00,2021-07-09 02:42:01,2.7,low,382,2.3,False
T-1fd94074,A-32812a,2023-02-13 00:00:00,2023-02-15 22:58:14,70.97,urgent,100,,False
T-7d699de9,A-b853d2,2022-09-17 00:00:00,2022-09-21 04:22:07,100.37,medium,451,,True
T-b1ff8104,A-a91287,2022-12-17 00:00:00,2022-12-17 03:08:22,3.14,urgent,203,,False
T-99ec6eee,A-e6e3cd,2023-11-11 00:00:00,2023-11-13 12:06:20,60.11,high,173,,True
T-16c31546,A-d22b13,2023-11-03 00:00:00,2023-11-07 23:58:30,119.98,medium,211,,False
T-f294646d,A-7b8bff,2024-03-24 00:00:00,2024-03-24 00:52:44,0.88,medium,154,,False
T-258efb00,A-4acad6,2021-01-12 00:00:00,2021-01-14 16:12:49,64.21,medium,386,1.9,False
T-8ce50e37,A-0d7286,2022-10-03 00:00:00,2022-10-03 13:33:33,13.56,medium,43,,True
T-32ad7682,A-c166a2,2024-06-03 00:00:00,2024-06-05 13:17:59,61.3,low,449,,False
T-7478ade6,A-e6343a,2024-04-06 00:00:00,2024-04-07 01:14:21,25.24,urgent,334,,False
T-52c9e666,A-b0fdf8,2021-03-31 00:00:00,2021-04-02 03:48:52,51.81,urgent,240,2.8,False
T-4fa2e96d,A-9ccef5,2022-10-12 00:00:00,2022-10-12 17:11:02,17.18,low,443,,True
T-885f2580,A-f4c25c,2021-03-25 00:00:00,2021-03-29 16:13:43,112.23,medium,179,3.5,False
T-e07e95b8,A-5ba322,2023-09-30 00:00:00,2023-09-30 08:32:41,8.54,low,287,4.2,False
T-fda1fa7a,A-168fe2,2022-01-26 00:00:00,2022-01-29 19:49:04,91.82,medium,188,4.0,False
T-4c1da1e7,A-e08e7c,2023-08-11 00:00:00,2023-08-14 20:11:27,92.19,medium,19,4.4,False
T-c014afc1,A-3841e3,2021-07-11 00:00:00,2021-07-12 20:19:28,44.32,high,449,,False
T-edde6f95,A-2b89d4,2022-02-20 00:00:00,2022-02-22 06:17:58,54.3,high,43,,False
T-8ee6a566,A-f7395b,2024-10-06 00:00:00,2024-10-10 13:13:44,109.23,medium,350,,False
T-27ccdc77,A-3a65d6,2024-03-13 00:00:00,2024-03-16 11:42:55,83.72,high,434,3.1,False
T-a0931ab9,A-321421,2023-07-08 00:00:00,2023-07-08 06:09:30,6.16,medium,451,,False
T-73783397,A-f3890c,2021-05-05 00:00:00,2021-05-06 22:42:01,46.7,medium,48,,False
T-b176beae,A-5a868a,2021-06-19 00:00:00,2021-06-19 08:30:56,8.52,low,284,4.5,True
T-eef8fef2,A-4f71e8,2022-04-12 00:00:00,2022-04-14 08:45:30,56.76,high,174,,False
T-338fa5f9,A-98ae9b,2021-04-22 00:00:00,2021-04-25 23:57:08,95.95,high,10,2.0,False
T-a71074b9,A-fd7c5d,2024-12-25 00:00:00,2024-12-29 23:13:02,119.22,medium,289,4.4,False
T-f0dbc6b1,A-8e16f1,2023-11-16 00:00:00,2023-11-16 08:49:05,8.82,medium,359,,True
T-64a43347,A-9d9ed2,2022-05-03 00:00:00,2022-05-06 16:49:01,88.82,urgent,330,2.8,False
T-4c5d9e12,A-6751ab,2023-08-17 00:00:00,2023-08-20 18:07:34,90.13,low,439,,True
T-b4750629,A-2e2e55,2022-10-16 00:00:00,2022-10-20 05:31:52,101.53,low,179,2.4,False
T-1d18ff21,A-7e69c7,2021-09-01 00:00:00,2021-09-05 04:09:32,100.16,urgent,24,2.0,False
T-af912934,A-bc60c8,2024-07-28 00:00:00,2024-07-31 01:34:57,73.58,low,145,1.2,False
T-88fc0c5f,A-6f29f7,2023-06-26 00:00:00,2023-06-30 11:59:22,107.99,low,40,2.3,False
T-d2d2d12c,A-2f36c1,2024-10-04 00:00:00,2024-10-07 13:57:19,85.96,medium,266,,True
T-d454962e,A-cb96b6,2024-05-25 00:00:00,2024-05-26 02:33:18,26.56,medium,317,5.0,False
T-d546ae08,A-85322a,2023-04-24 00:00:00,2023-04-26 22:59:42,71.0,medium,153,,False
T-e448a5aa,A-e21fc9,2021-03-09 00:00:00,2021-03-10 01:39:06,25.65,high,408,,False
T-b8774c10,A-d98759,2021-02-10 00:00:00,2021-02-12 18:47:56,66.8,urgent,302,,True
T-bce29cd3,A-e6e3cd,2022-03-15 00:00:00,2022-03-15 03:04:24,3.07,urgent,317,,True
T-e96b0a35,A-85322a,2023-07-27 00:00:00,2023-07-29 05:39:03,53.65,urgent,464,4.1,True
T-b2a38a6e,A-ab9ba5,2024-10-16 00:00:00,2024-10-18 17:10:28,65.17,urgent,425,,True
T-b703b7ff,A-39e2df,2024-09-19 00:00:00,2024-09-20 14:14:15,38.24,low,198,2.2,False
T-45fa74ba,A-a4bc9c,2022-05-01 00:00:00,2022-05-01 15:39:10,15.65,low,215,,False
T-fefdc8b5,A-7af86f,2022-05-19 00:00:00,2022-05-23 00:34:55,96.58,urgent,383,2.2,False
T-15786be0,A-661aa8,2024-02-02 00:00:00,2024-02-02 23:31:04,23.52,medium,226,1.0,True
T-ab30d1eb,A-4f8805,2021-02-10 00:00:00,2021-02-10 01:24:20,1.41,urgent,343,1.4,False
T-0bcb5da7,A-b8b83c,2021-01-15 00:00:00,2021-01-17 14:08:06,62.14,high,35,,False
T-40b0e49d,A-641031,2023-04-18 00:00:00,2023-04-21 02:36:34,74.61,high,226,1.7,False
T-ca654b98,A-9f9cca,2023-08-07 00:00:00,2023-08-11 04:04:15,100.07,low,450,,True
T-4f61e3a8,A-70da28,2021-03-12 00:00:00,2021-03-12 02:04:15,2.07,medium,143,,False
T-69599130,A-7c6a4f,2021-12-25 00:00:00,2021-12-26 00:56:07,24.94,high,445,1.3,False
T-061e0e45,A-c0260e,2021-03-31 00:00:00,2021-04-03 10:12:32,82.21,low,31,,False
T-0a556b48,A-2b89d4,2024-07-09 00:00:00,2024-07-12 09:18:10,81.3,urgent,331,,False
T-979309dd,A-3633b2,2022-07-06 00:00:00,2022-07-07 09:11:17,33.19,high,478,4.9,False
T-8b3974a4,A-ce9869,2024-08-17 00:00:00,2024-08-19 08:53:21,56.89,medium,10,2.5,True
T-7a5537ce,A-adedd2,2024-07-12 00:00:00,2024-07-13 14:54:06,38.9,low,441,,False
T-2c63e59a,A-186adc,2024-09-08 00:00:00,2024-09-09 01:01:08,25.02,high,126,1.9,False
T-0e1ef96c,A-f2e197,2024-01-15 00:00:00,2024-01-15 19:17:57,19.3,low,247,4.8,False
T-715a09c3,A-68ffd0,2023-07-23 00:00:00,2023-07-26 05:53:08,77.89,urgent,154,,False
T-175efe9e,A-8a8f8a,2024-02-03 00:00:00,2024-02-03 20:33:38,20.56,medium,63,,False
T-7e0234a0,A-293305,2023-07-31 00:00:00,2023-08-01 22:32:50,46.55,high,82,3.6,False
T-6e3f3e73,A-e3bd6e,2024-03-23 00:00:00,2024-03-23 13:18:24,13.31,high,173,3.4,False
T-4bb76547,A-2feda1,2023-12-27 00:00:00,2023-12-30 06:30:41,78.51,high,410,3.9,False
T-24a50249,A-0263d2,2021-09-19 00:00:00,2021-09-19 15:43:26,15.72,high,217,3.0,False
T-763ede9f,A-b0fdf8,2023-10-27 00:00:00,2023-10-28 14:05:42,38.1,urgent,52,,False
T-8d5a9d0f,A-99203a,2023-10-22 00:00:00,2023-10-23 00:36:15,24.6,high,11,2.0,False
T-e4af44f0,A-e71149,2024-02-07 00:00:00,2024-02-11 01:33:22,97.56,medium,109,3.9,False
T-1bae6202,A-430daf,2022-05-12 00:00:00,2022-05-16 23:27:52,119.46,urgent,382,,False
T-c7a619cf,A-27cc2c,2021-09-24 00:00:00,2021-09-26 22:19:21,70.32,low,149,,True
T-410c2389,A-4983af,2021-10-24 00:00:00,2021-10-25 07:36:46,31.61,urgent,444,,False
T-f86a74fd,A-e1fa7f,2023-07-12 00:00:00,2023-07-13 23:31:34,47.53,high,48,,False
T-6e1095e9,A-999860,2021-11-17 00:00:00,2021-11-19 11:06:58,59.12,medium,419,,False
T-845672eb,A-703310,2024-02-27 00:00:00,2024-02-28 12:40:26,36.67,medium,195,,False
T-d848e093,A-bb8a0a,2024-05-19 00:00:00,2024-05-21 07:09:51,55.16,urgent,427,3.7,False
T-7bcd385e,A-bb6306,2023-04-13 00:00:00,2023-04-17 08:39:28,104.66,high,412,2.7,False
T-ee94733e,A-f1d958,2021-10-07 00:00:00,2021-10-09 19:48:31,67.81,medium,66,,False
T-3f8b3d9b,A-4fc69b,2024-06-20 00:00:00,2024-06-21 15:31:13,39.52,low,437,1.2,False
T-e81defe5,A-2151c8,2021-01-09 00:00:00,2021-01-09 19:37:49,19.63,high,454,,False
T-2b760aa7,A-430daf,2023-08-10 00:00:00,2023-08-13 23:23:01,95.38,high,349,3.5,False
T-69f78d74,A-9175e6,2024-08-15 00:00:00,2024-08-18 19:36:38,91.61,high,188,5.0,False
T-2a8dba75,A-21c2da,2024-06-12 00:00:00,2024-06-16 00:22:02,96.37,high,414,1.6,False
T-9a2e32e8,A-518980,2024-06-21 00:00:00,2024-06-21 02:35:13,2.59,medium,446,,False
T-682788ec,A-825eb0,2024-09-20 00:00:00,2024-09-21 21:32:48,45.55,urgent,348,4.4,True
T-f3e86936,A-91c9c6,2021-03-08 00:00:00,2021-03-10 11:41:47,59.7,high,203,3.4,False
T-ec1c40eb,A-9a8bb2,2024-05-11 00:00:00,2024-05-11 18:08:40,18.14,high,299,,False
T-d26735bb,A-adf3b0,2024-09-15 00:00:00,2024-09-15 01:17:10,1.29,urgent,399,,True
T-b32d82a7,A-b46328,2023-04-23 00:00:00,2023-04-24 23:20:14,47.34,urgent,183,3.7,False
T-afa12e46,A-dccde9,2024-09-05 00:00:00,2024-09-08 07:22:58,79.38,urgent,272,2.7,False
T-e2c82252,A-18470a,2024-06-01 00:00:00,2024-06-01 10:52:13,10.87,high,418,,False
T-844231f5,A-757186,2023-01-15 00:00:00,2023-01-19 02:59:12,98.99,low,188,,False
T-cf4e4609,A-0e303f,2024-10-19 00:00:00,2024-10-21 15:44:06,63.74,high,75,4.7,False
T-3dcdfe61,A-e1b1a4,2021-03-24 00:00:00,2021-03-25 02:17:19,26.29,low,226,,True
T-3f784637,A-388d16,2021-07-25 00:00:00,2021-07-25 14:09:40,14.16,low,414,,False
T-97a5e8a8,A-d07cf7,2023-02-25 00:00:00,2023-03-01 09:08:09,105.14,urgent,383,1.7,True
T-acf4c6ee,A-3e6efe,2022-06-10 00:00:00,2022-06-10 08:39:59,8.67,urgent,168,3.2,False
T-69e12995,A-a2e460,2023-03-13 00:00:00,2023-03-17 19:02:58,115.05,high,147,,False
T-68bbf0f9,A-e2d27a,2023-05-29 00:00:00,2023-05-29 03:15:07,3.25,low,290,4.1,False
T-8f3eb387,A-410148,2024-04-21 00:00:00,2024-04-23 17:45:54,65.77,high,392,,True
T-b0895cd8,A-6751ab,2022-01-25 00:00:00,2022-01-25 02:19:48,2.33,high,111,1.9,False
T-36d32761,A-f56c83,2023-12-06 00:00:00,2023-12-09 17:47:25,89.79,medium,73,4.1,False
T-fbd76049,A-78d2ec,2021-09-10 00:00:00,2021-09-13 12:05:42,84.1,low,127,1.8,False
T-d351cba9,A-467260,2022-07-29 00:00:00,2022-07-29 07:36:19,7.61,high,240,,True
T-e411662c,A-7b1bc8,2024-06-01 00:00:00,2024-06-02 11:59:38,35.99,high,342,2.6,False
T-606ca2f0,A-f60e4b,2021-03-05 00:00:00,2021-03-08 12:07:38,84.13,low,329,3.3,False
T-79e8cc4a,A-467260,2023-03-13 00:00:00,2023-03-17 09:12:42,105.21,medium,388,1.4,False
T-84de2c46,A-9175e6,2021-03-25 00:00:00,2021-03-26 14:17:40,38.29,urgent,261,4.8,False
T-7f524a82,A-60fec0,2021-06-30 00:00:00,2021-07-02 21:06:30,69.11,high,374,4.9,False
T-9de52323,A-321421,2023-03-25 00:00:00,2023-03-27 07:57:59,55.97,medium,243,4.2,False
T-9dbac19a,A-579d6a,2022-04-02 00:00:00,2022-04-05 17:43:45,89.73,high,200,,False
T-797aedbf,A-186adc,2021-12-28 00:00:00,2021-12-28 10:17:07,10.29,medium,92,,True
T-1cc45a69,A-4cf7f7,2021-07-13 00:00:00,2021-07-17 01:07:30,97.13,low,61,,True
T-e96960d3,A-fd34f6,2024-02-11 00:00:00,2024-02-11 06:38:15,6.64,low,329,4.5,False
T-fb054ca2,A-2810a5,2021-11-11 00:00:00,2021-11-14 10:14:30,82.24,low,27,,False
T-9963d120,A-2c850e,2021-06-20 00:00:00,2021-06-21 07:56:56,31.95,urgent,266,2.6,False
T-fdac807d,A-0e38f6,2021-11-10 00:00:00,2021-11-11 23:01:21,47.02,urgent,372,3.0,False
T-f9c7a517,A-9c8b42,2022-08-16 00:00:00,2022-08-20 12:46:31,108.78,urgent,271,3.7,False
T-5b592d95,A-ba0f8c,2024-01-09 00:00:00,2024-01-13 00:21:19,96.36,high,4,1.7,False
T-48c85ca7,A-51ca60,2021-01-16 00:00:00,2021-01-17 11:17:26,35.29,medium,476,,False
T-bc1aab5b,A-ed6bb8,2023-02-06 00:00:00,2023-02-08 23:41:18,71.69,high,259,2.0,False
T-365a356a,A-dabc1b,2022-05-29 00:00:00,2022-06-01 03:20:33,75.34,medium,410,,False
T-4b1a2d14,A-121302,2021-03-11 00:00:00,2021-03-12 13:51:04,37.85,low,135,1.2,False
T-5c793cbc,A-448821,2023-08-16 00:00:00,2023-08-17 13:21:19,37.36,medium,242,,False
T-cb4ddd91,A-655235,2021-09-26 00:00:00,2021-09-27 23:57:08,47.95,high,383,,False
T-4424df66,A-adedd2,2024-09-30 00:00:00,2024-09-30 19:32:51,19.55,urgent,254,3.8,False
T-003173ce,A-ef6f7e,2021-03-11 00:00:00,2021-03-14 21:11:16,93.19,urgent,174,3.6,False
T-b618e6a8,A-3bb1ee,2022-05-31 00:00:00,2022-06-04 05:27:36,101.46,medium,423,3.3,False
T-5549ba2e,A-f26363,2024-04-12 00:00:00,2024-04-12 01:46:23,1.77,medium,314,2.5,True
T-f85569f7,A-df92d4,2022-07-23 00:00:00,2022-07-26 20:27:02,92.45,high,177,,False
T-3690abca,A-f2e197,2022-03-09 00:00:00,2022-03-12 10:07:56,82.13,medium,235,,False
T-41e5e86a,A-68ffd0,2024-06-21 00:00:00,2024-06-23 18:52:38,66.88,high,444,,False
T-17263107,A-f5777d,2021-05-20 00:00:00,2021-05-23 22:12:35,94.21,urgent,253,,False
T-b5363335,A-ba7802,2021-05-14 00:00:00,2021-05-14 04:37:38,4.63,low,181,2.1,False
T-82f9fd33,A-24f862,2021-12-09 00:00:00,2021-12-09 20:45:53,20.76,urgent,307,,False
T-4034e81f,A-1bf244,2021-11-14 00:00:00,2021-11-17 18:42:23,90.71,urgent,158,,False
T-2c9433c8,A-961183,2023-09-10 00:00:00,2023-09-10 01:31:17,1.52,urgent,140,,False
T-954b70a1,A-c0260e,2022-06-24 00:00:00,2022-06-28 01:02:25,97.04,medium,232,,False
T-de09ab36,A-09bda1,2023-04-01 00:00:00,2023-04-02 19:47:36,43.79,low,171,2.0,False
T-6a7a1646,A-adf3b0,2024-09-07 00:00:00,2024-09-11 01:12:39,97.21,urgent,163,3.2,False
T-f495aa3a,A-c402fb,2023-12-02 00:00:00,2023-12-05 12:40:35,84.68,low,97,2.2,False
T-718136df,A-ba0f8c,2024-10-01 00:00:00,2024-10-03 10:11:47,58.2,low,371,,True
T-81719990,A-4c2fc6,2022-11-28 00:00:00,2022-11-29 15:14:52,39.25,urgent,382,4.5,False
T-2b74b2dd,A-b4365e,2023-01-04 00:00:00,2023-01-05 15:49:18,39.82,medium,332,2.3,False
T-2e147a28,A-93381a,2022-12-17 00:00:00,2022-12-21 09:23:31,105.39,urgent,406,4.0,True
T-a1710f4f,A-daa5e3,2021-08-04 00:00:00,2021-08-07 06:57:20,78.96,urgent,12,4.7,False
T-decf0a3f,A-fd7c5d,2022-09-08 00:00:00,2022-09-08 20:35:05,20.58,medium,45,,False
T-4579f0d9,A-ab9ba5,2022-06-12 00:00:00,2022-06-15 18:45:36,90.76,medium,250,,False
T-bf17f089,A-057df9,2023-08-09 00:00:00,2023-08-09 02:21:57,2.37,low,387,3.1,False
T-d4558105,A-805f2e,2024-05-17 00:00:00,2024-05-17 17:08:13,17.14,low,251,,False
T-df72cabb,A-8563a7,2023-02-08 00:00:00,2023-02-12 12:18:39,108.31,low,267,,False
T-bee4e5c7,A-58a963,2022-03-26 00:00:00,2022-03-30 10:08:11,106.14,high,166,3.3,False
T-6703e7df,A-e21fc9,2023-10-26 00:00:00,2023-10-27 20:04:47,44.08,medium,455,1.5,False
T-d4f7b08e,A-641031,2021-03-04 00:00:00,2021-03-07 07:51:58,79.87,high,272,3.0,False
T-468da41c,A-7b1bc8,2023-05-03 00:00:00,2023-05-06 22:39:23,94.66,low,193,,True
T-14007361,A-fbe044,2022-08-17 00:00:00,2022-08-17 01:25:53,1.43,low,101,1.8,True
T-d050d383,A-d07cf7,2021-10-07 00:00:00,2021-10-11 21:34:53,117.58,urgent,396,,False
T-1d639d57,A-49256a,2022-09-30 00:00:00,2022-09-30 17:52:34,17.88,high,10,,False
T-6db36069,A-9d9ed2,2023-03-06 00:00:00,2023-03-06 04:05:48,4.1,medium,179,1.7,False
T-3e15e750,A-d87876,2022-05-18 00:00:00,2022-05-19 18:34:07,42.57,low,464,,False
T-cf7bdeaf,A-430daf,2024-05-15 00:00:00,2024-05-19 22:04:30,118.08,medium,450,4.1,True
T-f42176fe,A-176774,2022-03-19 00:00:00,2022-03-23 21:55:38,117.93,high,105,,False
T-862cb6d9,A-b95064,2021-04-19 00:00:00,2021-04-21 23:20:38,71.34,urgent,355,4.0,False
T-526d815e,A-ba42fc,2021-05-10 00:00:00,2021-05-12 04:33:10,52.55,low,363,4.2,False
T-ebbfa6f6,A-27cc2c,2022-10-03 00:00:00,2022-10-05 05:33:28,53.56,medium,178,1.8,False
T-d159face,A-1bf244,2024-08-19 00:00:00,2024-08-19 09:47:58,9.8,medium,295,,False
T-01956feb,A-01c648,2023-10-27 00:00:00,2023-10-27 19:24:25,19.41,medium,445,3.5,True
T-8bec1a41,A-b4365e,2021-07-25 00:00:00,2021-07-25 04:38:26,4.64,low,130,3.8,False
T-0e42ca6e,A-85322a,2021-09-27 00:00:00,2021-09-28 09:40:51,33.68,high,135,,False
T-4d49367d,A-e6fa42,2021-02-18 00:00:00,2021-02-19 17:22:46,41.38,high,20,,False
T-48cf0265,A-2e3f29,2023-06-10 00:00:00,2023-06-10 21:10:48,21.18,urgent,316,3.6,False
T-ba48a472,A-b8b83c,2023-05-03 00:00:00,2023-05-04 22:01:06,46.02,low,113,1.9,True
T-1c3eecf8,A-5a868a,2021-07-10 00:00:00,2021-07-11 02:43:00,26.72,medium,137,,False
T-95f3d14e,A-9e2b64,2022-09-29 00:00:00,2022-10-03 02:38:21,98.64,high,239,,False
T-256cb447,A-2c1987,2021-10-23 00:00:00,2021-10-25 17:57:17,65.95,urgent,265,1.9,False
T-964f3712,A-3a19f8,2023-12-30 00:00:00,2023-12-30 10:52:43,10.88,low,111,4.3,False
T-a9ba9abf,A-d766b2,2023-02-25 00:00:00,2023-02-27 22:07:02,70.12,medium,211,2.1,False
T-6a8ef701,A-21c968,2024-12-15 00:00:00,2024-12-16 18:27:37,42.46,urgent,292,,False
T-60a41d87,A-7e69c7,2023-11-18 00:00:00,2023-11-19 19:16:29,43.27,high,302,,False
T-7bb56e02,A-e5e60e,2023-07-06 00:00:00,2023-07-10 01:48:30,97.81,urgent,108,3.0,False
T-a5993d27,A-f6b94c,2024-06-13 00:00:00,2024-06-17 12:16:01,108.27,urgent,87,3.5,False
T-23e124bd,A-cfdab5,2021-12-21 00:00:00,2021-12-25 01:05:57,97.1,medium,399,3.9,False
T-7a71769c,A-2c3420,2022-06-19 00:00:00,2022-06-19 23:12:53,23.21,low,439,4.0,False
T-544ed6c3,A-cb96b6,2021-12-09 00:00:00,2021-12-13 05:36:53,101.61,medium,211,4.9,False
T-8386290a,A-cc4e00,2023-01-07 00:00:00,2023-01-09 09:11:12,57.19,urgent,98,,False
T-04096065,A-1bf244,2022-09-04 00:00:00,2022-09-08 19:51:44,115.86,urgent,291,2.2,False
T-6c7d3b28,A-cddcac,2024-08-24 00:00:00,2024-08-25 07:49:15,31.82,urgent,293,,False
T-281cbeb2,A-4f71e8,2022-02-21 00:00:00,2022-02-21 03:19:56,3.33,high,88,,False
T-fb455d5b,A-410bfd,2022-02-19 00:00:00,2022-02-20 12:46:45,36.78,high,55,,False
T-41466c0c,A-e08e7c,2023-08-17 00:00:00,2023-08-17 05:55:02,5.92,medium,294,2.1,False
T-eafc429d,A-abbbd0,2021-07-11 00:00:00,2021-07-12 03:25:55,27.43,low,2,,False
T-57321bf1,A-f3aa45,2023-12-29 00:00:00,2023-12-31 14:46:52,62.78,low,263,4.7,False
T-4264d30b,A-6f29f7,2021-06-07 00:00:00,2021-06-08 14:53:35,38.89,high,458,2.4,False
T-6caaadd3,A-71e1df,2024-06-16 00:00:00,2024-06-16 16:00:01,16.0,medium,383,4.0,False
T-b27410fc,A-b543ff,2022-10-03 00:00:00,2022-10-06 04:52:30,76.88,high,159,,True
T-9f086edf,A-ece32d,2023-03-10 00:00:00,2023-03-12 05:09:13,53.15,urgent,174,4.1,True
T-860c13e9,A-31dcb8,2024-08-30 00:00:00,2024-08-30 06:01:55,6.03,urgent,45,,False
T-ab2d2d89,A-1ce57d,2023-07-02 00:00:00,2023-07-06 09:21:47,105.36,low,101,,False
T-8f490670,A-4fc1cc,2023-04-21 00:00:00,2023-04-22 17:35:22,41.59,low,159,,False
T-47f35ba9,A-3f9994,2023-06-28 00:00:00,2023-07-01 19:53:07,91.89,low,47,3.7,False
T-a1aa9de5,A-ed72be,2023-11-19 00:00:00,2023-11-20 14:17:21,38.29,medium,232,,False
T-efebfcd9,A-e6e3cd,2022-05-03 00:00:00,2022-05-04 08:13:55,32.23,urgent,212,,False
T-8d3e3225,A-b94147,2024-05-14 00:00:00,2024-05-14 10:11:59,10.2,high,145,,False
T-16f81d92,A-c0e2d5,2023-08-25 00:00:00,2023-08-28 00:09:56,72.17,high,26,,False
T-08d4d142,A-9d992c,2023-05-17 00:00:00,2023-05-17 05:01:12,5.02,urgent,406,,False
T-5369846d,A-27e0e9,2022-02-25 00:00:00,2022-02-26 13:35:45,37.6,medium,380,1.1,False
T-c8d799d2,A-e99e90,2021-04-13 00:00:00,2021-04-15 02:00:37,50.01,medium,132,4.7,False
T-4b975af1,A-819eaf,2023-01-10 00:00:00,2023-01-14 03:12:50,99.21,low,291,2.8,False
T-83c316c2,A-c8e48c,2021-03-02 00:00:00,2021-03-04 16:16:17,64.27,low,398,1.2,False
T-26194995,A-7aee9c,2021-08-21 00:00:00,2021-08-23 15:18:48,63.31,high,394,3.0,False
T-a034cca5,A-bc1b91,2023-01-11 00:00:00,2023-01-12 04:42:32,28.71,urgent,21,4.8,False
T-7a2f87dc,A-c0e2d5,2021-04-24 00:00:00,2021-04-24 18:07:12,18.12,high,458,2.2,False
T-d05c8ff4,A-85322a,2022-03-30 00:00:00,2022-03-31 21:13:22,45.22,medium,402,3.7,False
T-4754b9a9,A-32812a,2022-12-25 00:00:00,2022-12-27 16:16:09,64.27,urgent,323,,False
T-300e3051,A-8f8cfc,2022-08-16 00:00:00,2022-08-18 06:40:02,54.67,low,296,2.1,False
T-0230fb5e,A-68ffd0,2021-11-13 00:00:00,2021-11-15 19:05:40,67.09,low,333,1.8,False
T-a987a401,A-2f36c1,2022-04-01 00:00:00,2022-04-01 10:13:32,10.23,low,433,4.2,False
T-c761c542,A-2b8e44,2022-01-29 00:00:00,2022-02-01 15:44:58,87.75,urgent,426,4.9,True
T-d08cc4a0,A-39e2df,2024-04-10 00:00:00,2024-04-11 18:53:31,42.89,high,274,4.6,False
T-15096606,A-f4d2c5,2024-11-11 00:00:00,2024-11-15 14:09:29,110.16,medium,378,,False
T-06eac922,A-396e8b,2023-08-14 00:00:00,2023-08-15 08:29:14,32.49,urgent,206,,True
T-e61a9cd8,A-001d08,2022-05-03 00:00:00,2022-05-03 01:36:13,1.6,low,267,,False
T-690e5f85,A-49535d,2023-11-09 00:00:00,2023-11-12 09:54:31,81.91,low,173,2.0,False
T-8126e84b,A-f11b19,2024-09-16 00:00:00,2024-09-20 04:49:25,100.82,high,60,3.1,False
T-914513dc,A-b32d86,2023-05-27 00:00:00,2023-05-27 04:32:40,4.54,high,4,1.2,True
