subscription_id,account_id,start_date,end_date,plan_tier,seats,mrr_amount,arr_amount,is_trial,upgrade_flag,downgrade_flag,churn_flag,billing_frequency,auto_renew_flag
S-fe6fba91,A-71e1df,2023-10-25,,Pro,71,1884,22608,False,False,False,False,annual,True
S-f9d33ae8,A-e71149,2021-01-07,,Pro,90,3101,37212,False,False,False,False,annual,True
S-9be125a5,A-9e2b64,2023-08-07,2023-12-07,Enterprise,152,2314,27768,False,True,False,True,monthly,True
S-fc654328,A-85322a,2024-07-30,,Basic,186,2697,32364,False,False,False,False,annual,False
S-6a778639,A-23c1ea,2022-01-27,,Enterprise,181,1884,22608,False,False,False,False,annual,True
S-b602f99e,A-2feda1,2022-01-21,,Enterprise,46,452,5424,False,False,False,False,annual,True
S-a60c0fac,A-825eb0,2022-12-29,,Pro,162,498,5976,False,True,False,False,annual,True
S-6971ff59,A-4a3e3a,2021-11-15,,Basic,180,4097,49164,False,False,False,False,monthly,True
S-fdde5a54,A-e1b1a4,2022-12-02,,Pro,69,1386,16632,True,False,False,False,monthly,True
S-08204e11,A-9a9689,2021-03-06,,Basic,169,1919,23028,False,False,False,False,annual,True
S-6c4dbccf,A-0e38f6,2024-02-29,,Basic,27,1598,19176,False,False,True,False,monthly,True
S-3cf59320,A-9d4ff6,2022-11-17,,Pro,26,1750,21000,False,False,False,False,monthly,True
S-39845e8c,A-314379,2021-02-14,,Basic,112,204,2448,False,False,False,False,monthly,True
S-90342390,A-377924,2024-05-15,,Basic,103,384,4608,False,False,False,False,annual,True
S-ccbbde7c,A-702e67,2023-11-05,,Basic,103,725,8700,False,True,False,False,annual,True
S-df0471d8,A-18470a,2024-05-07,,Basic,135,2640,31680,False,False,False,False,annual,True
S-accfdea2,A-816156,2022-11-14,,Enterprise,37,2739,32868,False,False,False,False,monthly,True
S-a255ff12,A-7b3b51,2021-10-30,,Enterprise,78,2259,27108,False,True,False,False,monthly,True
S-6dec98d4,A-df2118,2022-05-17,,Enterprise,123,925,11100,False,True,False,False,monthly,True
S-4a1492ea,A-3e6efe,2022-03-12,,Enterprise,97,939,11268,False,False,False,False,annual,True
S-3187ba4a,A-9dfcee,2021-09-21,,Pro,73,3670,44040,False,False,False,False,monthly,True
S-a5c7ee54,A-3e6efe,2021-05-27,,Enterprise,151,1280,15360,True,False,False,False,annual,True
S-4aefe99f,A-76eede,2023-01-12,,Pro,102,3097,37164,False,False,False,False,monthly,True
S-ce87cead,A-abbbd0,2022-03-09,,Basic,87,214,2568,False,True,False,False,annual,True
S-79967582,A-0ff5dc,2024-10-14,,Enterprise,46,6432,77184,False,False,False,False,annual,True
S-468cab49,A-58d05f,2021-06-19,,Pro,26,2985,35820,False,False,False,False,annual,True
S-34718f36,A-1bf244,2021-09-21,,Pro,168,521,6252,False,False,False,False,monthly,True
S-d66f0e24,A-5a868a,2022-06-14,,Basic,155,3320,39840,False,False,False,False,monthly,True
S-ca7885ba,A-1f5600,2024-12-29,,Basic,46,326,3912,False,False,False,False,monthly,True
S-2caa8e03,A-2b9974,2021-11-04,2023-07-31,Enterprise,51,1625,19500,False,False,False,True,annual,True
S-27523eb4,A-9f521d,2023-08-10,,Pro,13,3507,42084,False,False,False,False,annual,True
S-dc934131,A-dec46e,2022-08-30,,Enterprise,139,3443,41316,False,False,False,False,monthly,True
S-a70c6366,A-f3aa45,2022-09-02,,Enterprise,137,604,7248,False,False,True,False,annual,True
S-7baec293,A-bc0a07,2021-10-24,,Basic,71,1041,12492,False,False,False,False,monthly,False
S-47e91390,A-7af86f,2023-12-09,,Basic,38,3548,42576,False,False,False,False,monthly,True
S-4458b457,A-0143b8,2023-11-16,,Pro,87,2404,28848,False,False,False,False,annual,True
S-70b0e0e8,A-d8771a,2022-06-11,,Basic,111,1966,23592,False,False,False,False,monthly,False
S-82a048de,A-d9ad81,2024-06-14,,Enterprise,63,1269,15228,False,True,False,False,annual,True
S-e686c76a,A-71c2db,2023-06-14,,Basic,172,1567,18804,True,False,False,False,monthly,True
S-5c5b15cc,A-a81600,2021-01-11,,Basic,107,930,11160,False,False,False,False,annual,True
S-0d346108,A-87ec94,2024-07-24,,Basic,57,2061,24732,True,False,False,False,annual,False
S-2d9ac2be,A-9d992c,2024-04-19,,Pro,85,2338,28056,False,False,False,False,monthly,True
S-44757b6f,A-a54ab8,2022-10-17,,Basic,128,117,1404,False,False,False,False,annual,True
S-19e4748d,A-c6ab7a,2021-03-08,,Pro,21,2686,32232,False,False,False,False,annual,True
S-b3277a73,A-299f66,2023-12-21,,Enterprise,120,1592,19104,True,False,False,False,monthly,True
S-e9a0ec1a,A-6f29f7,2023-06-03,,Basic,6,3513,42156,False,False,False,False,annual,False
S-106c3898,A-3a3477,2023-02-08,,Basic,32,3665,43980,True,False,False,False,monthly,True
S-5f7072e3,A-b2adb9,2022-01-01,,Enterprise,189,3811,45732,False,False,False,False,monthly,True
S-1b535c78,A-46d001,2024-05-12,,Basic,176,2326,27912,False,False,False,False,monthly,True
S-843ad024,A-b56ab1,2023-03-15,,Enterprise,127,518,6216,False,False,False,False,monthly,True
S-77c273f8,A-45687e,2021-12-30,,Pro,119,5387,64644,False,False,True,False,monthly,True
S-56585db5,A-0d5e78,2023-05-07,,Basic,49,2071,24852,False,False,False,False,annual,True
S-2f531d2e,A-87ec94,2021-06-14,,Enterprise,157,1513,18156,False,False,False,False,monthly,True
S-b19d1c48,A-99995c,2023-01-29,2024-11-04,Pro,168,2314,27768,False,False,False,True,annual,False
S-41341dce,A-e99e90,2023-07-27,,Enterprise,183,2788,33456,False,False,False,False,annual,False
S-00feb641,A-3ea8a3,2022-02-28,,Enterprise,63,1208,14496,False,False,False,False,monthly,True
S-685f5772,A-67e8d1,2023-08-03,,Enterprise,41,3876,46512,False,False,True,False,monthly,True
S-f2faef7d,A-2c1987,2024-10-28,,Pro,134,3575,42900,False,False,True,False,monthly,True
S-e20b8d3d,A-ad2f33,2022-06-17,,Basic,166,776,9312,False,False,False,False,annual,False
S-be0b0fee,A-f10061,2021-05-03,,Basic,186,1336,16032,False,False,False,False,annual,True
S-5bca6cfb,A-0562c3,2024-08-23,,Enterprise,68,2196,26352,False,False,False,False,monthly,True
S-d8a51a1b,A-274168,2023-01-21,,Enterprise,37,1181,14172,False,False,False,False,monthly,True
S-11747297,A-449185,2024-08-07,,Enterprise,63,731,8772,False,False,False,False,annual,True
S-347d6526,A-f1d958,2023-07-12,,Pro,71,2733,32796,False,False,False,False,monthly,True
S-0541004e,A-af8daf,2022-03-29,,Enterprise,184,623,7476,False,False,False,False,annual,True
S-d5797241,A-9b151e,2022-08-27,,Pro,178,893,10716,False,False,False,False,annual,True
S-dba7a860,A-8ae5b4,2022-04-12,2022-12-14,Basic,67,1116,13392,False,False,False,True,annual,True
S-ef39f6cb,A-59672e,2023-09-04,,Enterprise,89,1490,17880,False,False,False,False,monthly,True
S-dc0dfc65,A-795e78,2023-02-14,,Basic,124,909,10908,False,False,True,False,annual,False
S-591c1b9f,A-703310,2022-12-03,,Pro,58,2101,25212,False,False,False,False,annual,True
S-95b0dc90,A-fd5d1c,2022-02-08,,Basic,4,1845,22140,False,False,False,False,monthly,True
S-cde4765a,A-bd844f,2022-04-13,,Enterprise,171,3004,36048,True,False,False,False,monthly,True
S-497c7de6,A-09489d,2022-07-10,,Pro,21,889,10668,False,True,False,False,annual,True
S-c2cc0638,A-e5e60e,2022-06-09,,Basic,177,1358,16296,False,False,False,False,monthly,True
S-eb3ce625,A-a54ab8,2021-12-30,2023-10-14,Basic,49,1856,22272,False,False,False,True,monthly,True
S-9c533f57,A-5d149a,2022-09-13,2023-06-03,Enterprise,150,3444,41328,False,False,True,True,annual,False
S-62e97f70,A-5a868a,2021-04-15,,Basic,114,1206,14472,True,True,False,False,annual,True
S-dcf2d662,A-e0e84b,2023-09-25,,Pro,149,1112,13344,False,False,False,False,annual,True
S-3da1bafe,A-31d091,2024-08-09,,Pro,1,2853,34236,False,False,False,False,monthly,True
S-3e4b7408,A-8d94af,2022-11-05,,Pro,73,334,4008,False,False,False,False,annual,True
S-d2a3120c,A-0c9ef2,2022-07-18,,Enterprise,47,523,6276,False,False,False,False,annual,True
S-0a39e438,A-105528,2021-12-01,,Enterprise,111,1951,23412,False,True,False,False,monthly,True
S-8cd461f2,A-45687e,2024-11-07,,Basic,60,3283,39396,False,False,False,False,monthly,True
S-22ccdb4a,A-e2d27a,2021-07-30,,Enterprise,157,4850,58200,False,False,False,False,monthly,True
S-9266ebe0,A-49256a,2023-03-23,,Enterprise,84,3481,41772,False,False,False,False,monthly,True
S-d9dcf2d1,A-dbf513,2022-07-06,,Basic,121,23,276,False,False,False,False,monthly,True
S-d22d9836,A-31dcb8,2022-12-26,,Basic,101,1383,16596,False,True,False,False,annual,True
S-b96bf03a,A-9b151e,2023-04-18,,Pro,36,3416,40992,False,False,True,False,monthly,True
S-ab820bde,A-dec46e,2022-03-04,,Enterprise,83,1873,22476,False,False,False,False,annual,True
S-b0336279,A-c0260e,2022-03-17,,Pro,71,5400,64800,False,False,False,False,monthly,True
S-f050d5ec,A-e1fa7f,2024-04-29,,Enterprise,100,2543,30516,False,False,False,False,annual,True
S-7b2db28d,A-87d27b,2024-05-27,,Basic,26,1900,22800,True,False,False,False,annual,True
S-ad94aa21,A-87ec94,2022-08-06,,Pro,188,3991,47892,False,True,False,False,monthly,True
S-0f850435,A-c1d6f0,2022-02-14,,Pro,63,4238,50856,False,False,False,False,monthly,True
S-34c6da40,A-66ee96,2022-08-20,,Enterprise,180,3959,47508,False,False,False,False,annual,False
S-b4765ea0,A-999860,2023-07-03,,Pro,48,4383,52596,False,False,False,False,monthly,True
S-35ae06aa,A-0c8a26,2024-12-12,,Basic,31,1326,15912,False,False,False,False,monthly,True
S-f8ed4b17,A-275801,2023-12-19,2025-06-25,Basic,5,534,6408,False,False,False,True,annual,False
S-22570ca7,A-280f2a,2022-11-01,,Enterprise,18,351,4212,False,False,False,False,annual,True
S-42671a99,A-b913b0,2023-12-26,,Basic,23,2118,25416,False,False,False,False,annual,True
S-29444386,A-b4365e,2021-05-30,,Basic,39,684,8208,False,True,False,False,monthly,True
S-9fa87323,A-32812a,2023-12-17,,Pro,111,2609,31308,False,False,False,False,annual,True
S-7f4c7241,A-5c19da,2023-03-10,2023-11-25,Pro,58,1548,18576,False,False,False,True,annual,True
S-25efafe3,A-a771e3,2022-02-15,,Pro,91,2923,35076,False,False,False,False,monthly,True
S-0598b65f,A-430daf,2021-10-31,,Basic,11,2172,26064,False,False,False,False,monthly,True
S-752a1f6b,A-176774,2022-10-08,,Basic,54,2377,28524,False,True,False,False,annual,True
S-b589c98c,A-1126a7,2022-03-21,,Basic,113,5635,67620,False,False,True,False,monthly,False
S-22ac1c71,A-127d60,2022-03-04,,Pro,113,2629,31548,False,False,False,False,annual,False
S-c84e059a,A-9a9689,2021-07-10,,Basic,32,363,4356,False,False,False,False,monthly,True
S-5c82d8f9,A-9e2b64,2023-01-04,,Pro,107,1900,22800,False,False,False,False,monthly,True
S-bb7d291d,A-23c1ea,2022-06-07,,Basic,108,2305,27660,False,False,False,False,annual,False
S-ca41074e,A-655235,2021-05-14,,Pro,167,1889,22668,False,False,True,False,monthly,True
S-813d6e8f,A-29838a,2023-03-10,,Enterprise,166,6622,79464,False,True,False,False,monthly,True
S-895a5503,A-4f8805,2021-01-19,,Pro,36,2461,29532,False,False,True,False,annual,False
S-46bc791b,A-e1796c,2024-09-15,,Pro,45,477,5724,False,False,False,False,monthly,False
S-a161a0d9,A-36c0b3,2024-10-01,,Enterprise,29,256,3072,False,True,False,False,annual,True
S-e3a548e6,A-27341c,2023-02-04,,Pro,7,1849,22188,False,False,True,False,monthly,False
S-5a6ba896,A-45687e,2023-04-15,2024-06-04,Basic,154,3576,42912,False,True,False,True,annual,True
S-836a5021,A-bb6306,2022-04-02,2022-07-08,Enterprise,138,3556,42672,False,False,False,True,monthly,True
S-f7004927,A-9d4ff6,2023-09-03,,Basic,66,3327,39924,False,False,False,False,monthly,True
S-01a96b81,A-51e832,2021-07-17,,Enterprise,33,1971,23652,False,True,False,False,annual,True
S-777124c3,A-47ce41,2021-06-18,,Pro,104,1518,18216,False,False,False,False,annual,True
S-4b64f4c5,A-d5aaf6,2024-09-12,,Pro,134,1507,18084,False,False,False,False,monthly,False
S-f96962b5,A-2c850e,2022-11-03,,Basic,38,56,672,False,False,True,False,annual,False
S-1287755c,A-9ccef5,2023-02-28,,Pro,37,3376,40512,False,False,False,False,monthly,True
S-6052cec7,A-cea72b,2021-01-24,,Enterprise,89,2827,33924,False,False,False,False,monthly,True
S-49e835fa,A-c00b52,2022-03-16,,Enterprise,72,1844,22128,False,False,False,False,monthly,False
S-0fbe7b5b,A-2411d9,2022-01-17,,Pro,125,3931,47172,False,False,True,False,annual,False
S-e704fb62,A-1b90d5,2023-11-30,,Enterprise,140,2378,28536,False,False,False,False,annual,True
S-80b83152,A-b0fdf8,2024-02-02,,Basic,89,139,1668,False,False,False,False,annual,True
S-f58f4c9c,A-001d08,2023-10-31,,Basic,50,3596,43152,False,False,False,False,monthly,True
S-08fc1688,A-0d7286,2022-12-26,,Enterprise,39,1391,16692,False,False,True,False,monthly,True
S-de1e2b18,A-275801,2024-01-10,,Basic,41,4093,49116,False,True,False,False,monthly,True
S-5c94db51,A-24f862,2021-11-08,,Enterprise,157,1278,15336,False,False,True,False,monthly,False
S-7a5c4463,A-b8b83c,2023-04-01,,Enterprise,122,5911,70932,False,True,False,False,annual,True
S-4b8b677b,A-3e6efe,2022-05-30,,Pro,80,805,9660,False,False,False,False,annual,True
S-9419a025,A-964882,2023-04-21,,Enterprise,63,943,11316,False,True,False,False,monthly,True
S-441a73d9,A-fa82d4,2022-05-25,,Pro,58,2127,25524,False,False,False,False,monthly,True
S-9b1eae27,A-90b550,2024-04-14,,Enterprise,71,3126,37512,False,True,False,False,monthly,True
S-69ac19d3,A-9201a1,2021-07-30,,Basic,121,3589,43068,False,False,False,False,annual,True
S-5a696972,A-246226,2024-06-03,,Pro,185,6521,78252,False,False,False,False,annual,True
S-c814b91e,A-186adc,2022-06-08,,Pro,110,4141,49692,False,False,False,False,monthly,True
S-594b44f7,A-430daf,2022-08-20,,Enterprise,154,6987,83844,False,False,False,False,monthly,True
S-1cebee2a,A-0ff5dc,2024-12-07,,Pro,15,5771,69252,False,False,False,False,annual,True
S-4a029be2,A-757186,2022-07-19,,Basic,65,977,11724,False,True,False,False,annual,False
S-481b4b82,A-579d6a,2022-05-13,,Basic,152,759,9108,False,False,False,False,annual,False
S-e6474367,A-572cc7,2023-09-27,,Basic,171,2912,34944,False,False,False,False,annual,True
S-707221b6,A-cddcac,2021-07-21,,Pro,62,509,6108,False,False,False,False,annual,True
S-9c882134,A-c0260e,2023-03-18,,Enterprise,118,4516,54192,False,False,False,False,annual,False
S-ce87d130,A-e6ef8b,2024-07-10,,Pro,172,2643,31716,False,False,False,False,annual,True
S-de35f31b,A-655235,2022-11-05,2024-01-31,Basic,65,2931,35172,False,False,False,True,annual,False
S-46532af7,A-fdeda5,2022-07-21,,Pro,84,755,9060,False,False,False,False,annual,True
S-1bd9cd82,A-4b4931,2022-03-05,,Basic,103,3702,44424,False,False,False,False,monthly,True
S-80f37d99,A-cc4e00,2021-07-02,,Basic,138,31,372,False,False,False,False,monthly,False
S-93c19479,A-8563a7,2021-07-27,,Enterprise,128,3548,42576,False,False,False,False,annual,False
S-2bb32409,A-9b151e,2023-09-22,,Basic,113,2988,35856,False,False,False,False,annual,True
S-7d766c9f,A-94b0ff,2021-08-17,,Enterprise,144,1206,14472,False,False,False,False,annual,True
S-350961bf,A-f4d2c5,2021-06-05,,Basic,183,3985,47820,False,False,False,False,monthly,True
S-70a7219a,A-bbe512,2022-11-28,,Pro,189,1233,14796,False,False,False,False,monthly,True
S-b583334c,A-efbe71,2021-06-18,,Enterprise,114,4451,53412,False,False,False,False,monthly,False
S-3d3bcfa1,A-dee10f,2021-02-23,,Pro,58,4571,54852,False,False,False,False,monthly,True
S-62671f05,A-cea72b,2021-02-12,,Enterprise,113,2459,29508,False,False,False,False,annual,True
S-0cf9057d,A-7f7de2,2023-11-29,,Enterprise,67,628,7536,False,False,False,False,monthly,True
S-95f6f30d,A-057df9,2023-01-29,,Pro,61,704,8448,False,False,False,False,annual,True
S-505d2f32,A-f2e197,2024-12-09,,Enterprise,130,1082,12984,False,False,False,False,annual,False
S-6e48143f,A-47ce41,2022-04-12,,Enterprise,180,1774,21288,False,False,False,False,monthly,True
S-adcc2070,A-d5aaf6,2024-03-22,,Enterprise,112,127,1524,True,False,True,False,annual,True
S-ba81fb90,A-2bf8bb,2024-08-24,2025-09-13,Pro,181,2477,29724,False,False,True,True,monthly,True
S-f9af12af,A-9201a1,2024-03-12,,Pro,126,2338,28056,False,False,False,False,annual,True
S-3e1d3cd7,A-16905a,2024-09-17,,Enterprise,179,1742,20904,False,False,False,False,monthly,False
S-7828f9a0,A-b515e1,2023-04-14,,Enterprise,2,638,7656,False,True,False,False,monthly,True
S-69cd9b51,A-2ca16b,2021-05-26,,Pro,106,1329,15948,False,False,False,False,annual,True
S-8a368ff3,A-29838a,2022-01-03,,Pro,31,6067,72804,False,True,False,False,annual,True
S-21945dff,A-7aee9c,2024-11-04,,Enterprise,98,2762,33144,False,True,False,False,monthly,True
S-0b814e02,A-f4d2c5,2022-12-29,,Enterprise,48,757,9084,False,False,False,False,monthly,True
S-44fbac1c,A-76eede,2021-06-17,,Basic,25,2581,30972,False,True,False,False,annual,False
S-134a8f3f,A-253b47,2021-05-02,,Enterprise,4,2087,25044,True,False,True,False,monthly,False
S-c274ef1c,A-29b014,2024-02-28,,Enterprise,45,2059,24708,False,False,False,False,annual,True
S-3c42275f,A-b67e99,2022-12-09,2024-12-07,Pro,46,4077,48924,False,False,False,True,annual,True
S-1d6d7763,A-ed72be,2021-11-01,,Enterprise,8,728,8736,False,False,False,False,monthly,True
S-99f5ff56,A-27e0e9,2021-09-04,,Pro,175,1435,17220,False,False,False,False,monthly,True
S-fdfa648e,A-3204d3,2024-05-20,,Pro,87,3383,40596,False,False,False,False,annual,True
S-8175d868,A-216da3,2023-07-07,,Enterprise,94,1676,20112,False,False,False,False,annual,True
S-72609da0,A-f2e197,2021-03-27,,Basic,123,1422,17064,False,False,False,False,monthly,False
S-1851e91c,A-246226,2021-07-22,,Pro,135,4208,50496,False,False,False,False,monthly,True
S-421bdd0a,A-6cb2ce,2024-08-10,,Enterprise,35,3419,41028,False,True,False,False,monthly,True
S-56d1f966,A-6cb2ce,2023-06-11,,Pro,144,88,1056,False,False,False,False,annual,True
S-b4c81dae,A-7e69c7,2022-08-12,,Basic,15,2125,25500,False,True,False,False,annual,True
S-f0bbd3f3,A-4f498a,2024-04-18,,Enterprise,13,998,11976,False,True,False,False,annual,True
S-fde6abeb,A-a2e460,2024-01-07,2026-01-06,Enterprise,112,1519,18228,False,False,False,True,annual,True
S-ea47e5fa,A-9e6b3e,2024-12-02,2025-08-08,Pro,57,5585,67020,False,True,False,True,monthly,True
S-8fdf0c90,A-7e8d26,2024-08-04,,Basic,98,4559,54708,False,False,False,False,monthly,True
S-6dfbe41f,A-6df3cb,2022-05-08,,Pro,100,3389,40668,False,False,False,False,annual,True
S-e4ab2509,A-8563a7,2021-10-18,,Enterprise,172,1180,14160,False,False,False,False,monthly,True
S-013f7d77,A-d8771a,2024-07-06,,Pro,70,4437,53244,False,True,False,False,monthly,True
S-aa7e061f,A-d16ef7,2022-01-24,,Basic,65,1039,12468,False,False,False,False,monthly,True
S-7cfcd8c5,A-d9e9fc,2023-07-09,,Enterprise,30,1744,20928,False,False,True,False,annual,True
S-dc5aad90,A-949e9c,2021-12-09,,Pro,175,1360,16320,False,False,False,False,monthly,True
S-8efb977a,A-9f9cca,2024-03-13,,Pro,52,2124,25488,False,False,False,False,monthly,True
S-9508acc7,A-b1f3cb,2021-03-15,,Basic,29,200,2400,False,False,False,False,annual,True
S-7a058442,A-2be2ac,2021-05-19,,Basic,114,552,6624,False,True,False,False,monthly,True
S-f0202778,A-dd2024,2022-01-23,,Pro,82,718,8616,True,True,False,False,annual,False
S-7952cd62,A-0263d2,2022-05-29,,Pro,15,1291,15492,False,True,False,False,monthly,True
S-61a6a228,A-205093,2022-01-12,,Enterprise,169,2974,35688,False,True,False,False,monthly,False
S-1bac9c26,A-93381a,2024-05-17,,Pro,82,1061,12732,True,False,False,False,annual,True
S-fecddb29,A-040921,2024-06-20,,Enterprise,83,1649,19788,False,True,False,False,annual,True
S-e742d0f9,A-51ca60,2023-02-20,2023-05-20,Basic,58,3200,38400,False,True,False,True,annual,True
S-cab2b20a,A-fb30f4,2023-09-03,,Basic,99,836,10032,False,False,False,False,annual,True
S-f17551e8,A-467260,2024-10-30,,Pro,117,1998,23976,False,False,False,False,monthly,False
S-fec38bc0,A-d0403b,2022-04-04,,Basic,188,7039,84468,False,False,False,False,monthly,False
S-249f7d09,A-2e3f29,2023-01-24,,Basic,118,617,7404,False,False,False,False,monthly,False
S-98327780,A-393763,2021-09-14,,Enterprise,54,2632,31584,False,False,False,False,monthly,True
S-6916467f,A-46d001,2023-06-29,,Pro,103,408,4896,False,False,False,False,monthly,True
S-017bc0f3,A-a2e460,2024-03-10,,Basic,187,2371,28452,False,False,False,False,annual,True
S-87d45ad5,A-b32d86,2023-04-17,,Pro,28,1370,16440,False,False,False,False,monthly,False
S-a9a3a1b0,A-2feda1,2024-07-01,,Enterprise,56,3684,44208,False,False,False,False,monthly,False
S-46e427dc,A-147497,2023-06-04,,Enterprise,146,594,7128,False,False,False,False,annual,True
S-4e8477b3,A-a771e3,2021-11-16,,Basic,51,2971,35652,False,False,False,False,monthly,True
S-df6be09a,A-c0f13b,2023-09-24,,Basic,161,4261,51132,False,False,False,False,monthly,True
S-b6710fbe,A-66ee96,2021-01-18,,Enterprise,14,987,11844,False,True,False,False,monthly,True
S-2ac04e0a,A-273a83,2021-11-05,,Enterprise,81,1764,21168,False,False,False,False,annual,True
S-95ab2d63,A-7b8bff,2022-08-17,,Basic,144,2622,31464,False,False,False,False,monthly,True
S-b2e02352,A-2cf08b,2024-06-20,,Pro,72,345,4140,False,False,False,False,monthly,True
S-f09e10ac,A-51eed3,2021-10-28,,Basic,11,1042,12504,False,False,False,False,annual,True
S-45565a7b,A-c0260e,2021-02-10,,Pro,150,3702,44424,False,False,True,False,annual,True
S-4b7bcea4,A-9f9cca,2024-10-07,,Enterprise,87,1868,22416,False,False,True,False,annual,True
S-4259c8d5,A-59d242,2022-09-07,,Pro,172,2756,33072,False,False,False,False,annual,True
S-e0001178,A-5a8f35,2021-06-20,,Basic,127,1563,18756,True,False,False,False,annual,True
S-6b31652f,A-c402fb,2022-06-02,,Enterprise,7,1587,19044,False,False,True,False,monthly,True
S-bc37c271,A-e6ef8b,2022-09-20,,Enterprise,87,4142,49704,True,False,False,False,monthly,True
S-ac9b63fb,A-e2d27a,2021-06-14,,Pro,160,5579,66948,True,False,False,False,monthly,True
S-87df6926,A-f3aa45,2023-08-21,,Enterprise,178,2714,32568,False,False,False,False,monthly,False
S-3c1b206b,A-aeac12,2023-05-20,,Enterprise,67,356,4272,False,False,False,False,annual,False
S-4e3d6ee7,A-d8771a,2024-10-07,2026-09-19,Basic,82,5605,67260,False,False,True,True,monthly,True
S-d209dcbb,A-c6ab7a,2021-08-08,,Basic,61,2291,27492,False,False,True,False,monthly,True
S-7df97f66,A-bb8a0a,2022-11-30,,Pro,19,2591,31092,False,False,False,False,monthly,True
